File name	 Run No	  Starting AoA (deg)	  Arc (deg)	  Linear Pitch-Rate (deg/s)	  Reynolds No.	 Mach No.	 Reduced Pitch-Rate 
11030671	 30671	  29	  -40	  -340.06	  1526600	 0.11894	 -0.039969 
11030681	 30681	  29	  -40	  -242.35	  1519900	 0.11894	 -0.028436 
11030691	 30691	  29	  -40	  -193.3	  1514600	 0.11894	 -0.02265 
11030701	 30701	  30	  -41	  -139.91	  1504700	 0.11791	 -0.016552 
11030711	 30711	  30	  -41	  -100.44	  1496900	 0.11791	 -0.011858 
11030721	 30721	  30	  -41	  -42.26	  1492400	 0.11791	 -0.0049834 
11030731	 30731	  30	  -41	  -1.0857	  1489100	 0.11791	 -0.00012792 
11030741	 30741	  24	  -35	  -324.07	  1484100	 0.11777	 -0.038199 
11030751	 30751	  22	  -33	  -336.82	  1479600	 0.11777	 -0.039655 
11030761	 30761	  20	  -31	  -317.48	  1478400	 0.11777	 -0.037365 
11030771	 30771	  18	  -29	  -332.55	  1476500	 0.11777	 -0.039119 
11030781	 30781	  16	  -27	  -307.68	  1482700	 0.11832	 -0.036019 
11030791	 30791	  12	  -23	  -296.16	  1477700	 0.11832	 -0.034624 
11030801	 30801	  10	  -21	  -301.38	  1476400	 0.11832	 -0.035223 
11030811	 30811	  8	  -19	  -293.18	  1465700	 0.11746	 -0.034513 
11030821	 30821	  6	  -17	  -276.56	  1465100	 0.11746	 -0.032551 
11030831	 30831	  4	  -15	  -246.26	  1463200	 0.11746	 -0.028971 
11031871	 31871	  40	  -41	  -252.74	  1004300	 0.078628	 -0.044567 
11031881	 31881	  40	  -41	  -173.7	  1003900	 0.078628	 -0.030624 
11031891	 31891	  40	  -41	  -96.715	  1004300	 0.078628	 -0.017054 
11031901	 31901	  40	  -41	  -27.458	  1003900	 0.078628	 -0.004841 
11031911	 31911	  40	  -41	  -258.06	  1968600	 0.15412	 -0.023215 
11031921	 31921	  40	  -41	  -178.1	  1945100	 0.15412	 -0.015947 
11031931	 31931	  40	  -41	  -96.31	  1936900	 0.15412	 -0.0086094 
11031941	 31941	  40	  -41	  -27.588	  1928700	 0.15412	 -0.0024621 
11630871	 630870	  -30	  40	  352.78	  1492900	 0.11727	 0.041893 
11630881	 630880	  -30	  40	  241.67	  1489000	 0.11727	 0.028669 
11630891	 630890	  -30	  40	  193.7	  1486400	 0.11727	 0.022963 
11630901	 630900	  -30	  40	  142.13	  1494700	 0.11792	 0.016756 
11630911	 630910	  -30	  40	  100.21	  1490200	 0.11792	 0.0118 
11630921	 630920	  -30	  40	  42.744	  1487600	 0.11792	 0.0050299 
11630931	 630930	  -30	  40	  1.0915	  1483100	 0.11792	 0.00012829 
11630941	 630940	  -24	  34	  325.83	  1471100	 0.11716	 0.038519 
11630951	 630950	  -22	  32	  344.92	  1469800	 0.11716	 0.040762 
11630961	 630960	  -20	  30	  324.75	  1466700	 0.11716	 0.038347 
11630971	 630970	  -18	  28	  328.8	  1465400	 0.11716	 0.038812 
11630981	 630980	  -16	  26	  308	  1470100	 0.11749	 0.036263 
11630991	 630990	  -14	  24	  313.45	  1467600	 0.11749	 0.03688 
11631001	 631000	  -12	  22	  300.29	  1467600	 0.11749	 0.035331 
11631011	 631010	  -10	  20	  293.87	  1465700	 0.11749	 0.034559 
11631021	 631020	  -8	  18	  268.17	  1468200	 0.11754	 0.031538 
11631031	 631030	  -6	  16	  270.94	  1465700	 0.11754	 0.031842 
11631041	 631040	  -4	  14	  252.75	  1464500	 0.11754	 0.029694 
