File name	 Run No	  Nominal AoA (deg)	  Average AoA (deg)	  Reynolds No.	  Mach No. 
05040171	 40171	  0	  0.16	  1504500	  0.11894 
05040181	 40181	  1	  1.12	  1498700	  0.11894 
05040191	 40191	  2	  1.9	  1498000	  0.11894 
05040201	 40201	  3	  2.9	  1497400	  0.11894 
05040211	 40211	  4	  3.94	  1497400	  0.11894 
05040221	 40221	  5	  4.9	  1496100	  0.11894 
05040231	 40231	  6	  5.74	  1496100	  0.11894 
05040241	 40241	  7	  6.71	  1494800	  0.11894 
05040251	 40251	  8	  7.8	  1494800	  0.11894 
05040261	 40261	  9	  9.02	  1494200	  0.11894 
05040271	 40271	  10	  9.98	  1493500	  0.11894 
05040281	 40281	  11	  10.85	  1493500	  0.11894 
05040291	 40291	  12	  11.7	  1492900	  0.11894 
05040301	 40301	  13	  12.68	  1492300	  0.11894 
05040311	 40311	  14	  13.65	  1490600	  0.1185 
05040321	 40321	  15	  15	  1486800	  0.1185 
05040331	 40331	  16	  16.06	  1486800	  0.1185 
05040341	 40341	  17	  17.04	  1486800	  0.1185 
05040351	 40351	  18	  18.15	  1486200	  0.1185 
05040361	 40361	  19	  19.14	  1486200	  0.1185 
05040371	 40371	  20	  20.22	  1485500	  0.1185 
05040381	 40381	  21	  21.35	  1484900	  0.1185 
05040391	 40391	  22	  22.34	  1484200	  0.1185 
05040401	 40401	  23	  23.5	  1483600	  0.1185 
05040411	 40411	  24	  24.37	  1483000	  0.1185 
05040421	 40421	  25	  25.49	  1483000	  0.1185 
05040431	 40431	  26	  26.28	  1482300	  0.1185 
05040441	 40441	  27	  27.45	  1481700	  0.1185 
05040451	 40451	  28	  28.34	  1489000	  0.11873 
05040461	 40461	  29	  29.21	  1485100	  0.11873 
05040471	 40471	  30	  30	  1484500	  0.11873 
05040481	 40481	  31	  31.06	  1483900	  0.11873 
05040491	 40491	  32	  32.01	  1482600	  0.11873 
05040501	 40501	  33	  33	  1482600	  0.11873 
05040511	 40511	  34	  34.26	  1482000	  0.11873 
05040521	 40521	  35	  35.16	  1481400	  0.11873 
05040531	 40531	  0	  0	  1482900	  0.11819 
05040541	 40541	  1	  1.17	  1477800	  0.11819 
05040551	 40551	  2	  2.03	  1476500	  0.11819 
05040561	 40561	  3	  3.12	  1475900	  0.11819 
05040571	 40571	  4	  4.01	  1475900	  0.11819 
05040581	 40581	  5	  5	  1475300	  0.11819 
05040591	 40591	  6	  5.85	  1474700	  0.11819 
05040601	 40601	  7	  6.74	  1474700	  0.11819 
05040611	 40611	  8	  7.86	  1474700	  0.11819 
05040621	 40621	  9	  8.73	  1474700	  0.11819 
05040631	 40631	  10	  9.87	  1474000	  0.11819 
05040641	 40641	  11	  10.91	  1474000	  0.11819 
05040651	 40651	  12	  11.86	  1474000	  0.11819 
05040661	 40661	  13	  12.77	  1473400	  0.11819 
05040671	 40671	  14	  13.72	  1491700	  0.11904 
05040681	 40681	  15	  15.14	  1486600	  0.11904 
05040691	 40691	  16	  16.17	  1485900	  0.11904 
05040701	 40701	  17	  17.18	  1485900	  0.11904 
05040711	 40711	  18	  18.24	  1486600	  0.11904 
05040721	 40721	  19	  19.35	  1486600	  0.11904 
05040731	 40731	  20	  20.22	  1486600	  0.11904 
05040741	 40741	  21	  21.36	  1485900	  0.11904 
05040751	 40751	  22	  22.2	  1485900	  0.11904 
05040761	 40761	  23	  23.31	  1485300	  0.11904 
05040771	 40771	  24	  24.46	  1484700	  0.11904 
05040781	 40781	  25	  25.52	  1484700	  0.11904 
05040791	 40791	  26	  26.37	  1484000	  0.11904 
05040801	 40801	  27	  27.48	  1484000	  0.11904 
05040811	 40811	  28	  28.24	  1491300	  0.11911 
05040821	 40821	  29	  29.37	  1485600	  0.11911 
05040831	 40831	  30	  30.14	  1484900	  0.11911 
05040841	 40841	  31	  30.95	  1484300	  0.11911 
05040851	 40851	  32	  31.89	  1484300	  0.11911 
05040861	 40861	  33	  33.01	  1483700	  0.11911 
05040871	 40871	  34	  33.92	  1483700	  0.11911 
05040881	 40881	  35	  35.08	  1483000	  0.11911 
