File name	 Run No	  Start AoA (deg)	  Arc (deg)	  Reynolds No.	  Mach No. 
13000011	 11	  -2	  30	  1599700	  0.127 
13000491	 491	  -2	  30	  1535500	  0.12064 
13000751	 751	  -2	  30	  1040100	  0.07981 
13000801	 801	  -2	  30	  2057700	  0.15982 
13001681	 1681	  -2	  29	  1527800	  0.12099 
13003541	 3541	  -2	  29	  1100100	  0.083533 
13003711	 3711	  -2	  29	  1588300	  0.12189 
13003961	 3961	  -2	  28	  2023100	  0.15913 
13004131	 4131	  -2	  28	  867140	  0.069202 
13004211	 4211	  -2	  29	  1214000	  0.097137 
13004291	 4291	  -2	  28	  1632000	  0.13064 
13004371	 4371	  -2	  28	  2083500	  0.16587 
13004801	 4801	  -2	  29	  860710	  0.069637 
13004881	 4881	  -2	  28	  1200600	  0.097794 
13005031	 5031	  -2	  29	  2087100	  0.17508 
13005181	 5181	  -2	  29	  1661100	  0.13232 
13805541	 805540	  -2	  29	  1567600	  0.12233 
13805741	 805740	  -2	  30	  1530800	  0.11825 
