File name	 Run No	  Starting AoA (deg)	  Arc (deg)	  Linear Pitch-Rate (deg/s)	  Reynolds No.	 Mach No.	 Reduced Pitch-Rate 
03023001	 23001	  -6	  40	  0.7441	  1503700	 0.12035	 8.5679e-05 
03023011	 23011	  -5	  40	  1.4979	  1491900	 0.12012	 0.0001724 
03023021	 23021	  -6	  40	  2.971	  1485500	 0.11961	 0.0003434 
03023031	 23031	  -5	  40	  4.4094	  1490700	 0.12034	 0.00050607 
03023041	 23041	  -6	  40	  5.9542	  1471700	 0.1182	 0.00069717 
03023051	 23051	  -6	  41	  7.4721	  1465400	 0.1182	 0.00087344 
03023061	 23061	  -6	  40	  14.802	  1461800	 0.11756	 0.0017417 
03023071	 23071	  -6	  40	  29.174	  1457500	 0.11756	 0.0034288 
03023081	 23081	  -6	  40	  44.729	  1457500	 0.11756	 0.005257 
03023091	 23091	  -5	  40	  58.659	  1462800	 0.11768	 0.0068936 
03023101	 23101	  -5	  40	  74.267	  1459700	 0.11768	 0.0087206 
03023111	 23111	  -5	  40	  91.46	  1457800	 0.11768	 0.010734 
03023121	 23121	  -5	  40	  100.59	  1478000	 0.11886	 0.011706 
03023131	 23131	  -5	  40	  114.26	  1474300	 0.11886	 0.013284 
03023141	 23141	  -5	  40	  127.78	  1473600	 0.11886	 0.014853 
03023151	 23151	  -5	  40	  143.76	  1496800	 0.12011	 0.01657 
03023161	 23161	  -5	  40	  157.69	  1489700	 0.12011	 0.018143 
03023171	 23171	  -5	  40	  173.13	  1489700	 0.12011	 0.019919 
03023181	 23181	  -5	  39	  185.88	  1487200	 0.1195	 0.021524 
03023191	 23191	  -5	  39	  197.63	  1482800	 0.1195	 0.022858 
03023201	 23201	  -5	  39	  211.8	  1482800	 0.1195	 0.024497 
03023211	 23211	  -5	  39	  223.85	  1480900	 0.1195	 0.025877 
03023221	 23221	  -5	  40	  240.18	  1504400	 0.12046	 0.027625 
03023231	 23231	  -5	  40	  253.13	  1500600	 0.12046	 0.029085 
03023241	 23241	  -5	  40	  263.49	  1499300	 0.12046	 0.030266 
03023251	 23251	  -5	  40	  280.69	  1498000	 0.12046	 0.032231 
03023261	 23261	  -5	  40	  286.52	  1492000	 0.11947	 0.03323 
03023271	 23271	  -5	  40	  299.44	  1486900	 0.11947	 0.034682 
03023281	 23281	  -5	  39	  317.58	  1486900	 0.11947	 0.036783 
03023291	 23291	  -5	  39	  328.11	  1485000	 0.11947	 0.037984 
03023301	 23301	  -5	  40	  332.95	  1496000	 0.11984	 0.038489 
03023311	 23311	  -5	  40	  366.47	  1490200	 0.11984	 0.0423 
03023321	 23321	  -5	  40	  397.74	  1488900	 0.11984	 0.045894 
03023331	 23331	  -5	  40	  423.53	  1488900	 0.11984	 0.04887 
03024311	 24311	  0	  5	  58.079	  1493700	 0.11996	 0.0066971 
03024321	 24321	  0	  4	  112.58	  1489800	 0.11996	 0.012969 
03024331	 24331	  0	  4	  145.2	  1488600	 0.11996	 0.016721 
03024411	 24411	  0	  8	  47.839	  1445800	 0.1189	 0.0055369 
03024421	 24421	  0	  8	  108.16	  1444600	 0.1189	 0.012514 
03024431	 24431	  0	  8	  193.83	  1443300	 0.1189	 0.022419 
03024441	 24441	  0	  8	  210.21	  1442700	 0.1189	 0.02431 
03024451	 24451	  0	  8	  212.91	  1442100	 0.1189	 0.024618 
03024511	 24511	  0	  12	  51.753	  1457000	 0.11947	 0.0059683 
03024521	 24521	  0	  12	  94	  1453900	 0.11947	 0.010831 
03024531	 24531	  0	  12	  195.82	  1452700	 0.11947	 0.022556 
03024541	 24541	  0	  12	  259.63	  1452100	 0.11947	 0.029901 
