File name	 Run No	  Nominal AoA (deg)	  Average AoA (deg)	  Reynolds No.	  Mach No. 
06040171	 40171	  0	  0.03	  1517300	  0.12085 
06040181	 40181	  1	  1.01	  1510000	  0.12085 
06040191	 40191	  2	  1.65	  1508700	  0.12085 
06040201	 40201	  3	  2.82	  1508100	  0.12085 
06040211	 40211	  4	  3.97	  1507400	  0.12085 
06040221	 40221	  5	  5	  1506700	  0.12085 
06040231	 40231	  6	  5.92	  1506100	  0.12085 
06040241	 40241	  7	  6.99	  1505400	  0.12085 
06040251	 40251	  8	  8.25	  1504800	  0.12085 
06040261	 40261	  9	  9.38	  1504800	  0.12085 
06040271	 40271	  10	  10.39	  1504100	  0.12085 
06040281	 40281	  11	  11.43	  1503500	  0.12085 
06040291	 40291	  12	  12.57	  1502800	  0.12085 
06040301	 40301	  13	  13.62	  1502200	  0.12085 
06040311	 40311	  14	  14.26	  1507100	  0.12077 
06040321	 40321	  15	  15.54	  1501200	  0.12077 
06040331	 40331	  16	  16.59	  1501200	  0.12077 
06040341	 40341	  17	  17.77	  1501900	  0.12077 
06040351	 40351	  18	  19.01	  1501200	  0.12077 
06040361	 40361	  19	  20.16	  1500600	  0.12077 
06040371	 40371	  20	  21.06	  1499900	  0.12077 
06040381	 40381	  21	  22.07	  1499900	  0.12077 
06040391	 40391	  22	  23	  1499900	  0.12077 
06040401	 40401	  23	  24.31	  1499300	  0.12077 
06040411	 40411	  24	  25.38	  1498600	  0.12077 
06040421	 40421	  25	  26.37	  1498600	  0.12077 
06040431	 40431	  26	  27.37	  1498000	  0.12077 
06040441	 40441	  27	  28.4	  1496700	  0.12077 
06040451	 40451	  28	  29.09	  1499800	  0.12066 
06040461	 40461	  29	  30.2	  1495900	  0.12066 
06040471	 40471	  30	  31.26	  1494600	  0.12066 
06040481	 40481	  31	  32.19	  1494600	  0.12066 
06040491	 40491	  32	  33.03	  1494000	  0.12066 
06040501	 40501	  33	  34.12	  1493300	  0.12066 
06040511	 40511	  34	  34.98	  1492700	  0.12066 
06040521	 40521	  35	  36.04	  1492100	  0.12066 
06040531	 40531	  0	  -0.2	  1492700	  0.12035 
06040541	 40541	  1	  0.6	  1489500	  0.12035 
06040551	 40551	  2	  1.4	  1488900	  0.12035 
06040561	 40561	  3	  2.28	  1488200	  0.12035 
06040571	 40571	  4	  3.83	  1487600	  0.12035 
06040581	 40581	  5	  4.79	  1487000	  0.12035 
06040591	 40591	  6	  5.84	  1487000	  0.12035 
06040601	 40601	  7	  6.95	  1486300	  0.12035 
06040611	 40611	  8	  7.91	  1486300	  0.12035 
06040621	 40621	  9	  9.06	  1485700	  0.12035 
06040631	 40631	  10	  10.17	  1485000	  0.12035 
06040641	 40641	  11	  11.32	  1485000	  0.12035 
06040651	 40651	  12	  12.37	  1485000	  0.12035 
06040661	 40661	  13	  13.31	  1484400	  0.12035 
06040671	 40671	  14	  14.26	  1483200	  0.11963 
06040681	 40681	  15	  15.55	  1477400	  0.11963 
06040691	 40691	  16	  16.36	  1477400	  0.11963 
06040701	 40701	  17	  17.78	  1477400	  0.11963 
06040711	 40711	  18	  18.88	  1477400	  0.11963 
06040721	 40721	  19	  19.83	  1476800	  0.11963 
06040731	 40731	  20	  20.85	  1476100	  0.11963 
06040741	 40741	  21	  22.08	  1476100	  0.11963 
06040751	 40751	  22	  23.08	  1476100	  0.11963 
06040761	 40761	  23	  24.23	  1474900	  0.11963 
06040771	 40771	  24	  25.18	  1474900	  0.11963 
06040781	 40781	  25	  26.02	  1474900	  0.11963 
06040791	 40791	  26	  26.95	  1474200	  0.11963 
06040801	 40801	  27	  28.17	  1473600	  0.11963 
06040811	 40811	  28	  29.05	  1484800	  0.12002 
06040821	 40821	  29	  30.2	  1479700	  0.12002 
06040831	 40831	  30	  31.34	  1479000	  0.12002 
06040841	 40841	  31	  32.45	  1478400	  0.12002 
06040851	 40851	  32	  33.3	  1477700	  0.12002 
06040861	 40861	  33	  34.17	  1477700	  0.12002 
06040871	 40871	  34	  35.01	  1477100	  0.12002 
06040881	 40881	  35	  35.97	  1477100	  0.12002 
