File name	 Run No	  Start AoA (deg)	  Arc (deg)	  Reynolds No.	  Mach No. 
12000411	 411	  -2	  30	  1037800	  0.16458 
12000421	 421	  -2	  30	  1008100	  0.16224 
12000431	 431	  -2	  29	  979300	  0.15955 
12000441	 441	  28	  -30	  942880	  0.15401 
12000451	 451	  -1	  -30	  1008300	  0.16037 
12000461	 461	  -2	  30	  779830	  0.12414 
12000471	 471	  -2	  30	  771130	  0.12371 
12000481	 481	  -2	  30	  771260	  0.12188 
12000491	 491	  -2	  30	  1055900	  0.16809 
12000511	 511	  -2	  30	  950260	  0.15382 
12000531	 531	  -2	  30	  852930	  0.13912 
12000551	 551	  -2	  30	  763520	  0.12154 
12000571	 571	  -2	  30	  661390	  0.1061 
12000591	 591	  -2	  30	  547390	  0.08789 
12000611	 611	  -2	  30	  826540	  0.13115 
12000781	 781	  -2	  30	  830700	  0.13032 
12000831	 831	  -2	  30	  1076600	  0.1721 
12001111	 1111	  -2	  30	  1075900	  0.17004 
12001211	 1211	  -2	  30	  846940	  0.13253 
12001251	 1251	  -2	  30	  791350	  0.12301 
12001381	 1381	  -2	  31	  791560	  0.12295 
12001661	 1661	  -2	  29	  786850	  0.1224 
12001721	 1721	  -2	  30	  1066500	  0.17113 
12801971	 801970	  -2	  30	  1097700	  0.17165 
12801981	 801980	  -2	  30	  884910	  0.13865 
