File name	 Run No	  Mean Incidence (deg)	  Amplitude (deg)	  Oscillation Freq. (Hz)	  Reynolds No.	 Mach No.	 Reduced Frequency 
09051011	 51011	  0	  5.4	  0.607	  805250	 0.062203	 0.04964 
09051031	 51031	  0	  10	  0.607	  804530	 0.062203	 0.049622 
09051051	 51051	  0	  12.2	  0.607	  803810	 0.062203	 0.049605 
09051071	 51071	  0	  13.8	  0.607	  800050	 0.061968	 0.049776 
09051091	 51091	  0	  17.4	  0.607	  799330	 0.061968	 0.049759 
09051111	 51111	  0	  5.4	  0.842	  1092600	 0.085044	 0.050216 
09051131	 51131	  0	  10	  0.842	  1091100	 0.085044	 0.05019 
09051151	 51151	  0	  12.2	  0.842	  1089700	 0.085044	 0.050164 
09051171	 51171	  0	  13.8	  0.842	  1089300	 0.085125	 0.05009 
09051211	 51211	  0	  5.4	  0.97	  1471300	 0.11907	 0.040695 
09051231	 51231	  0	  10	  0.97	  1467500	 0.11907	 0.040654 
09051251	 51251	  0	  12.2	  0.97	  1464300	 0.11907	 0.04062 
09051271	 51271	  0	  13.8	  0.97	  1462900	 0.119	 0.040637 
09051291	 51291	  0	  17.4	  0.97	  1459700	 0.119	 0.040603 
09051311	 51311	  0	  5.4	  1.229	  1476700	 0.1207	 0.05067 
09051331	 51331	  0	  10	  1.229	  1473600	 0.1207	 0.050628 
09051351	 51351	  0	  12.2	  1.229	  1471100	 0.1207	 0.050595 
09051371	 51371	  0	  13.8	  1.229	  1466200	 0.1203	 0.050764 
09051391	 51391	  0	  17.4	  1.229	  1463100	 0.1203	 0.050722 
09051411	 51411	  0	  5.4	  1.494	  1477900	 0.12038	 0.061842 
09051431	 51431	  0	  10	  1.494	  1474700	 0.12038	 0.061791 
09051451	 51451	  0	  12.2	  1.494	  1471600	 0.12038	 0.061739 
09051471	 51471	  0	  13.8	  1.494	  1472900	 0.12059	 0.06161 
09051491	 51491	  0	  17.4	  1.494	  1470400	 0.12059	 0.061569 
09051511	 51511	  0	  5.4	  1.662	  1881300	 0.15639	 0.052535 
09051531	 51531	  0	  10	  1.662	  1874200	 0.15639	 0.052457 
09051551	 51551	  0	  12.2	  1.662	  1868000	 0.15639	 0.052388 
09051571	 51571	  0	  13.8	  1.662	  1858500	 0.15574	 0.052593 
09051591	 51591	  0	  17.4	  1.662	  1852400	 0.15574	 0.052524 
09059011	 59011	  0	  22.6	  0.607	  792900	 0.061524	 0.050101 
09059031	 59031	  0	  32.8	  0.607	  792190	 0.061524	 0.050083 
09059051	 59051	  0	  22.6	  0.842	  1088600	 0.085298	 0.049937 
09059071	 59071	  0	  32.8	  0.842	  1086600	 0.085298	 0.049903 
09059091	 59091	  0	  22.6	  0.97	  1463000	 0.11938	 0.040462 
09059111	 59111	  0	  32.8	  0.97	  1459900	 0.11938	 0.040429 
09059131	 59131	  0	  22.6	  1.229	  1461500	 0.12017	 0.050777 
09059151	 59151	  0	  32.8	  1.229	  1459000	 0.12017	 0.050743 
09059171	 59171	  0	  22.6	  1.494	  1468000	 0.1205	 0.061596 
09059191	 59191	  0	  32.8	  1.494	  1465500	 0.1205	 0.061556 
09059211	 59211	  0	  22.6	  1.662	  1848100	 0.15551	 0.052584 
09059231	 59231	  0	  32.8	  1.662	  1841200	 0.15551	 0.052507 
09059311	 59311	  0	  5.4	  1.875	  1463400	 0.12037	 0.077321 
09059331	 59331	  0	  10	  1.875	  1460900	 0.12037	 0.077269 
09059351	 59351	  0	  12.2	  1.875	  1459000	 0.12037	 0.077231 
09059371	 59371	  0	  13.8	  1.875	  1459800	 0.12044	 0.077189 
09059391	 59391	  0	  17.4	  1.875	  1457400	 0.12044	 0.077138 
09059411	 59411	  0	  22.6	  1.875	  1453700	 0.12014	 0.077332 
09059431	 59431	  0	  32.8	  1.875	  1451900	 0.12014	 0.077294 
09059451	 59451	  0	  5.4	  0.488	  1479000	 0.11888	 0.020563 
09059471	 59471	  0	  10	  0.488	  1474500	 0.11888	 0.020538 
09059491	 59491	  0	  12.2	  0.488	  1470700	 0.11888	 0.020518 
09059511	 59511	  0	  13.8	  0.488	  1472300	 0.11916	 0.020459 
09059531	 59531	  0	  17.4	  0.488	  1468500	 0.11916	 0.020439 
09059551	 59551	  0	  22.6	  0.488	  1464500	 0.11894	 0.020469 
09059571	 59571	  0	  32.8	  0.488	  1460800	 0.11894	 0.020449 
