File name	 Run No	  Mean Incidence (deg)	  Amplitude (deg)	  Oscillation Freq. (Hz)	  Reynolds No.	 Mach No.	 Reduced Frequency 
06011001	 11001	  0	  5.4	  0.664	  766560	 0.062193	 0.053352 
06011021	 11021	  0	  10	  0.664	  766890	 0.062193	 0.053361 
06011041	 11041	  0	  12.2	  0.664	  766890	 0.062193	 0.053361 
06011061	 11061	  0	  13.8	  0.664	  758940	 0.061416	 0.054082 
06011081	 11081	  0	  17.4	  0.664	  758290	 0.061416	 0.054064 
06011101	 11101	  0	  5.4	  0.892	  1158600	 0.093518	 0.047761 
06011121	 11121	  0	  10	  0.892	  1155100	 0.093518	 0.047705 
06011141	 11141	  0	  12.2	  0.892	  1154100	 0.093518	 0.047689 
06011161	 11161	  0	  13.8	  0.892	  1150500	 0.093099	 0.047928 
06011181	 11181	  0	  17.4	  0.892	  1147500	 0.093099	 0.047879 
06011201	 11201	  0	  5.4	  0.996	  1483400	 0.1202	 0.041428 
06011221	 11221	  0	  10	  0.996	  1474500	 0.1202	 0.041331 
06011241	 11241	  0	  12.2	  0.996	  1470800	 0.1202	 0.04129 
06011261	 11261	  0	  13.8	  0.996	  1459600	 0.11908	 0.041706 
06011281	 11281	  0	  17.4	  0.996	  1453900	 0.11908	 0.041643 
06011301	 11301	  0	  5.4	  1.245	  1470900	 0.12001	 0.051729 
06011321	 11321	  0	  10	  1.245	  1460900	 0.12001	 0.051591 
06011341	 11341	  0	  12.2	  1.245	  1458400	 0.12001	 0.051557 
06011361	 11361	  0	  13.8	  1.245	  1455100	 0.11943	 0.051857 
06011381	 11381	  0	  17.4	  1.245	  1449600	 0.11943	 0.05178 
06011401	 11401	  0	  5.4	  1.494	  1453300	 0.11953	 0.062125 
06011421	 11421	  0	  10	  1.494	  1447100	 0.11953	 0.062022 
06011441	 11441	  0	  12.2	  1.494	  1444000	 0.11953	 0.06197 
06011461	 11461	  0	  13.8	  1.494	  1445800	 0.11932	 0.062152 
06011481	 11481	  0	  17.4	  1.494	  1440300	 0.11932	 0.062059 
06011501	 11501	  0	  5.4	  1.662	  1850200	 0.15264	 0.054059 
06011521	 11521	  0	  10	  1.662	  1830000	 0.15264	 0.053828 
06011541	 11541	  0	  12.2	  1.662	  1824600	 0.15264	 0.053766 
06011561	 11561	  0	  13.8	  1.662	  1830500	 0.15249	 0.053907 
06011581	 11581	  0	  17.4	  1.662	  1814500	 0.15249	 0.053722 
06012001	 12001	  10	  4	  0.245	  1496300	 0.11962	 0.010249 
06012011	 12011	  10	  6	  0.245	  1485300	 0.11962	 0.01022 
06012021	 12021	  10	  8	  0.245	  1482800	 0.11962	 0.010213 
06012031	 12031	  10	  10	  0.245	  1480300	 0.11962	 0.010206 
06012041	 12041	  10	  4	  0.612	  1482600	 0.11976	 0.025468 
06012051	 12051	  10	  6	  0.612	  1475100	 0.11976	 0.025417 
06012061	 12061	  10	  8	  0.612	  1473800	 0.11976	 0.025409 
06012071	 12071	  10	  10	  0.612	  1473200	 0.11976	 0.025405 
06012081	 12081	  10	  4	  1.224	  1481200	 0.1198	 0.050896 
06012091	 12091	  10	  6	  1.224	  1473600	 0.1198	 0.050794 
06012101	 12101	  10	  8	  1.224	  1472400	 0.1198	 0.050778 
06012111	 12111	  10	  10	  1.224	  1472400	 0.1198	 0.050778 
06012121	 12121	  10	  4	  1.836	  1460100	 0.11845	 0.077124 
06012131	 12131	  10	  6	  1.836	  1454500	 0.11845	 0.077008 
06012141	 12141	  10	  8	  1.836	  1453900	 0.11845	 0.076996 
06012151	 12151	  10	  10	  1.836	  1452700	 0.11845	 0.07697 
06012161	 12161	  10	  4	  2.448	  1468000	 0.11929	 0.10204 
06012171	 12171	  10	  6	  2.448	  1464200	 0.11929	 0.10194 
06012181	 12181	  10	  8	  2.448	  1463600	 0.11929	 0.10192 
06012191	 12191	  10	  10	  2.448	  1463000	 0.11929	 0.1019 
06012201	 12201	  10	  4	  3.06	  1461400	 0.11865	 0.12828 
06012211	 12211	  10	  6	  3.06	  1455800	 0.11865	 0.12809 
06012221	 12221	  10	  8	  3.06	  1455200	 0.11865	 0.12806 
06012231	 12231	  10	  10	  3.06	  1455200	 0.11865	 0.12806 
06012241	 12241	  10	  4	  3.673	  1459700	 0.11882	 0.1536 
06012251	 12251	  10	  6	  3.673	  1456600	 0.11882	 0.15348 
06012261	 12261	  10	  8	  3.673	  1456000	 0.11882	 0.15345 
06012271	 12271	  10	  10	  3.673	  1456600	 0.11882	 0.15348 
06012281	 12281	  10	  4	  4.286	  1463000	 0.11908	 0.17884 
06012291	 12291	  10	  6	  4.286	  1458700	 0.11908	 0.17863 
06012301	 12301	  10	  8	  4.286	  1458700	 0.11908	 0.17863 
06012311	 12311	  10	  10	  4.286	  1458000	 0.11908	 0.1786 
06012371	 12371	  3	  8	  0.245	  1486400	 0.11975	 0.010206 
06012381	 12381	  4	  8	  0.245	  1475600	 0.11975	 0.010177 
06012391	 12391	  5	  8	  0.245	  1473100	 0.11975	 0.010171 
06012401	 12401	  6	  8	  0.245	  1471200	 0.11975	 0.010166 
06012411	 12411	  7	  8	  0.245	  1469300	 0.11975	 0.010161 
06012421	 12421	  8	  8	  0.245	  1478000	 0.11939	 0.010228 
06012431	 12431	  9	  8	  0.245	  1468000	 0.11939	 0.0102 
06012441	 12441	  11	  8	  0.245	  1466100	 0.11939	 0.010195 
06012451	 12451	  12	  8	  0.245	  1464200	 0.11939	 0.01019 
06012461	 12461	  13	  8	  0.245	  1461700	 0.11939	 0.010183 
06012471	 12471	  14	  8	  0.245	  1462800	 0.11912	 0.010218 
06012481	 12481	  15	  8	  0.245	  1456600	 0.11912	 0.010201 
06012491	 12491	  17	  8	  0.245	  1454800	 0.11912	 0.010196 
06012501	 12501	  20	  8	  0.245	  1454200	 0.11912	 0.010194 
06012511	 12511	  3	  8	  0.612	  1435800	 0.11732	 0.025882 
06012521	 12521	  4	  8	  0.612	  1431600	 0.11732	 0.025852 
06012531	 12531	  5	  8	  0.612	  1430400	 0.11732	 0.025843 
06012541	 12541	  6	  8	  0.612	  1429800	 0.11732	 0.025839 
06012551	 12551	  7	  8	  0.612	  1429200	 0.11732	 0.025835 
06012561	 12561	  8	  8	  0.612	  1448700	 0.11837	 0.025652 
06012571	 12571	  9	  8	  0.612	  1447500	 0.11837	 0.025643 
06012581	 12581	  11	  8	  0.612	  1441300	 0.11837	 0.025601 
06012591	 12591	  12	  8	  0.612	  1440700	 0.11837	 0.025597 
06012601	 12601	  13	  8	  0.612	  1440100	 0.11837	 0.025592 
06012621	 12621	  15	  8	  0.612	  1438800	 0.11826	 0.025617 
06012631	 12631	  17	  8	  0.612	  1438200	 0.11826	 0.025613 
06012641	 12641	  20	  8	  0.612	  1438200	 0.11826	 0.025613 
06012651	 12651	  3	  8	  1.224	  1479100	 0.11994	 0.050785 
06012661	 12661	  4	  8	  1.224	  1473500	 0.11994	 0.050709 
06012671	 12671	  5	  8	  1.224	  1472800	 0.11994	 0.050701 
06012681	 12681	  6	  8	  1.224	  1472200	 0.11994	 0.050692 
06012691	 12691	  7	  8	  1.224	  1449900	 0.11942	 0.050692 
06012701	 12701	  8	  8	  1.224	  1450800	 0.11914	 0.05087 
06012711	 12711	  9	  8	  1.224	  1447100	 0.11914	 0.050819 
06012721	 12721	  11	  8	  1.224	  1446500	 0.11914	 0.050811 
06012731	 12731	  12	  8	  1.224	  1446500	 0.11914	 0.050811 
06012741	 12741	  13	  8	  1.224	  1445900	 0.11914	 0.050803 
06012751	 12751	  14	  8	  1.224	  1450400	 0.11891	 0.051001 
06012761	 12761	  15	  8	  1.224	  1444900	 0.11891	 0.050926 
06012771	 12771	  17	  8	  1.224	  1444300	 0.11891	 0.050917 
