File name	 Run No	  Start AoA (deg)	  Arc (deg)	  Reynolds No.	  Mach No. 
07000011	 11	  0	  25	  789070	  0.064147 
07000021	 21	  0	  -26	  791460	  0.064231 
07000031	 31	  0	  25	  1071300	  0.086794 
07000041	 41	  0	  -26	  1065600	  0.086333 
07000051	 51	  0	  25	  1450500	  0.11877 
07000061	 61	  0	  -26	  1455100	  0.11799 
07000071	 71	  0	  25	  1935600	  0.15769 
07000081	 81	  0	  -26	  1915300	  0.15736 
07400091	 400090	  180	  25	  793940	  0.063666 
07400101	 400100	  180	  -25	  826610	  0.065568 
07400111	 400110	  180	  25	  1104400	  0.087111 
07400121	 400120	  180	  -25	  1087300	  0.086397 
07400131	 400130	  180	  25	  1491400	  0.11877 
07400141	 400140	  185	  -29	  1489000	  0.11893 
07400151	 400150	  175	  30	  1981800	  0.15857 
07400161	 400160	  185	  -30	  1952000	  0.15774 
