File name	 Run No	  Start AoA (deg)	  Arc (deg)	  Reynolds No.	  Mach No. 
06000011	 11	  0	  30	  806970	  0.063569 
06000021	 21	  0	  -24	  809700	  0.065665 
06000031	 31	  0	  30	  1076500	  0.084837 
06000041	 41	  0	  -24	  1092800	  0.087974 
06000051	 51	  0	  30	  1528700	  0.12064 
06000061	 61	  0	  -25	  1480700	  0.11946 
06000071	 71	  0	  30	  1961100	  0.15606 
06000081	 81	  0	  -24	  1908300	  0.15663 
06400091	 91	  180	  25	  823890	  0.06509 
06400101	 101	  180	  -25	  822440	  0.06509 
06400111	 111	  180	  25	  1085500	  0.085986 
06400121	 121	  180	  -25	  1092800	  0.086983 
06400131	 131	  180	  25	  1450800	  0.11553 
06400141	 141	  180	  -25	  1442800	  0.11565 
06400151	 151	  180	  25	  1943300	  0.15651 
06400161	 161	  180	  -25	  1915600	  0.15602 
