File name	 Run No	  Nominal AoA (deg)	  Average AoA (deg)	  Reynolds No.	  Mach No. 
04047221	 47221	  -8	  -7.57	  1490200	  0.11818 
04047231	 47231	  -4	  -3.37	  1485100	  0.11818 
04047241	 47241	  0	  0.33	  1483200	  0.11818 
04047251	 47251	  2	  1.31	  1482600	  0.11818 
04047261	 47261	  4	  4.36	  1481900	  0.11818 
04047271	 47271	  6	  6.88	  1481900	  0.11818 
04047281	 47281	  8	  9.11	  1481300	  0.11818 
04047291	 47291	  9	  10.06	  1480700	  0.11818 
04047301	 47301	  10	  11	  1480700	  0.11818 
04047311	 47311	  11	  11.92	  1480100	  0.11818 
04047321	 47321	  12	  12.95	  1488100	  0.11847 
04047331	 47331	  13	  13.89	  1485500	  0.11847 
04047341	 47341	  14	  14.88	  1484900	  0.11847 
04047351	 47351	  15	  15.71	  1484300	  0.11847 
04047361	 47361	  16	  16.65	  1484300	  0.11847 
04047371	 47371	  17	  17.57	  1484900	  0.11847 
04047381	 47381	  18	  18.57	  1484300	  0.11847 
04047391	 47391	  19	  19.41	  1484300	  0.11847 
04047401	 47401	  20	  20.26	  1483700	  0.11847 
04047411	 47411	  21	  21.27	  1483700	  0.11847 
04047421	 47421	  22	  22.24	  1483000	  0.11847 
04047431	 47431	  23	  23.07	  1482400	  0.11847 
04047441	 47441	  24	  24.01	  1482400	  0.11847 
04047451	 47451	  26	  25.84	  1481100	  0.11847 
04047461	 47461	  32	  32.17	  1481100	  0.11847 
