File name	 Run No	  Start AoA (deg)	  Arc (deg)	  Reynolds No.	  Mach No. 
01000011	 11	  -3	  31	  1004600	  0.079725 
01000021	 21	  -3	  31	  984960	  0.077684 
01000031	 31	  -3	  30	  977050	  0.077387 
01000041	 41	  -3	  31	  991280	  0.078143 
01000051	 51	  -3	  31	  989390	  0.07756 
01000061	 61	  -3	  31	  999830	  0.078722 
01000071	 71	  -3	  30	  1487100	  0.11805 
01000081	 81	  -3	  30	  1493400	  0.11832 
01000091	 91	  -3	  30	  1483700	  0.11717 
01000101	 101	  -3	  30	  1474000	  0.11675 
01000111	 111	  -3	  30	  1429500	  0.11759 
01000121	 121	  -4	  30	  1495200	  0.11771 
01000131	 131	  -4	  30	  1482000	  0.11689 
01000141	 141	  -2	  30	  1470500	  0.118 
01000151	 151	  -3	  31	  1477400	  0.11841 
01000161	 161	  -2	  30	  784720	  0.06303 
01000171	 171	  -2	  30	  985280	  0.078633 
01000181	 181	  -2	  30	  1182200	  0.094352 
01000191	 191	  -2	  30	  1386900	  0.11021 
01000201	 201	  -2	  30	  1473800	  0.11711 
01000211	 211	  -2	  30	  1575200	  0.12544 
01000221	 221	  -2	  30	  1758200	  0.14152 
01000231	 231	  -2	  30	  1931400	  0.15679 
01000241	 241	  -3	  30	  1462100	  0.11669 
01000261	 261	  -2	  30	  1442200	  0.11698 
01000271	 271	  -2	  30	  1433800	  0.1163 
01000281	 281	  -2	  30	  1426500	  0.11668 
01000291	 291	  -2	  30	  1423500	  0.11667 
01000301	 301	  -2	  30	  937510	  0.077004 
01000311	 311	  -2	  30	  945330	  0.077324 
01000321	 321	  -2	  30	  1903100	  0.15599 
01000331	 331	  -2	  30	  1458400	  0.1163 
01000341	 341	  -2	  31	  1010000	  0.081606 
01000351	 351	  -2	  30	  1503600	  0.12201 
01000361	 361	  -2	  30	  1917000	  0.15655 
01000371	 371	  -2	  30	  960590	  0.077617 
01000391	 391	  -2	  30	  1908500	  0.15816 
01000401	 401	  -2	  30	  965340	  0.078333 
01000411	 411	  -2	  30	  1457600	  0.11878 
01000421	 421	  -2	  30	  1930200	  0.15796 
01000431	 431	  -3	  30	  1543200	  0.12462 
01000502	 502	  -2	  30	  1499300	  0.12153 
01000512	 512	  -3	  31	  1473800	  0.12023 
01000522	 522	  -3	  30	  1471400	  0.12004 
01000532	 532	  -2	  31	  1473300	  0.12121 
01000592	 592	  0	  31	  1463900	  0.1196 
01000602	 602	  -1	  31	  1441400	  0.11864 
01000612	 612	  -2	  31	  1454900	  0.11858 
01000622	 622	  -2	  31	  1441600	  0.1175 
01000632	 632	  -2	  31	  1446500	  0.1184 
01000642	 642	  -2	  30	  1457900	  0.11775 
01000981	 981	  -2	  30	  1464000	  0.11689 
01001001	 1001	  -2	  31	  1490600	  0.11851 
01001011	 1011	  -2	  31	  1446800	  0.1162 
01001031	 1031	  -2	  31	  1452200	  0.11846 
01001041	 1041	  -2	  31	  1469000	  0.11874 
