File name	 Run No	  Starting AoA (deg)	  Arc (deg)	  Linear Pitch-Rate (deg/s)	  Reynolds No.	 Mach No.	 Reduced Pitch-Rate 
02030321	 30321	  37	  -38	  -325.18	  1400800	 0.11616	 -0.038497 
02030331	 30331	  37	  -38	  -233.91	  1426400	 0.11829	 -0.027194 
02030341	 30341	  37	  -38	  -148.57	  1393300	 0.11554	 -0.017684 
02030351	 30351	  37	  -38	  -84.128	  1395500	 0.11573	 -0.0099973 
02030361	 30361	  37	  -38	  -71.148	  1409000	 0.11685	 -0.0083739 
02030371	 30371	  37	  -38	  -57.572	  1391900	 0.11543	 -0.0068594 
02030381	 30381	  37	  -38	  -43.465	  1409000	 0.11685	 -0.0051156 
02030392	 30392	  37	  -38	  -29.105	  1398300	 0.11596	 -0.0034518 
02030402	 30402	  37	  -38	  -14.613	  1398700	 0.11599	 -0.0017326 
02030411	 30411	  37	  -38	  -4.4777	  1388000	 0.1151	 -0.000535 
