File name	 Run No	  Mean Incidence (deg)	  Amplitude (deg)	  Oscillation Freq. (Hz)	  Reynolds No.	 Mach No.	 Reduced Frequency 
03056701	 56701	  0	  5.35	  1.224	  1437200	 0.11875	 0.050836 
03056711	 56711	  0	  9.94	  1.224	  1433600	 0.11875	 0.050786 
03056721	 56721	  0	  12.24	  1.224	  1433000	 0.11875	 0.050777 
03056731	 56731	  0	  13.76	  1.224	  1431800	 0.11875	 0.050761 
03056741	 56741	  0	  17.42	  1.224	  1430600	 0.11875	 0.050744 
03056751	 56751	  0	  22.57	  1.224	  1430000	 0.11875	 0.050736 
03056761	 56761	  0	  5.35	  0.979	  1439300	 0.11932	 0.040414 
03056771	 56771	  0	  9.94	  0.979	  1437500	 0.11932	 0.040394 
03056781	 56781	  0	  12.24	  0.979	  1436300	 0.11932	 0.040381 
03056791	 56791	  0	  13.76	  0.979	  1435100	 0.11932	 0.040367 
03056801	 56801	  0	  17.42	  0.979	  1433900	 0.11932	 0.040354 
03056811	 56811	  0	  22.57	  0.979	  1432700	 0.11932	 0.040341 
03056821	 56821	  0	  5.35	  1.469	  1430800	 0.11887	 0.060821 
03056831	 56831	  0	  9.94	  1.469	  1429100	 0.11887	 0.060791 
03056841	 56841	  0	  12.24	  1.469	  1427300	 0.11887	 0.060761 
03056851	 56851	  0	  13.76	  1.469	  1426700	 0.11887	 0.060752 
03056861	 56861	  0	  17.42	  1.469	  1426100	 0.11887	 0.060742 
03056881	 56881	  0	  5.35	  1.224	  1486300	 0.1204	 0.050531 
03056891	 56891	  0	  9.94	  1.224	  1484400	 0.1204	 0.050506 
03056901	 56901	  0	  12.24	  1.224	  1482500	 0.1204	 0.050481 
03056911	 56911	  0	  13.76	  1.224	  1480600	 0.1204	 0.050456 
03056921	 56921	  0	  17.42	  1.224	  1479300	 0.1204	 0.050439 
03056931	 56931	  0	  22.57	  1.224	  1478700	 0.1204	 0.050431 
03056941	 56941	  -6	  13.76	  1.224	  1493600	 0.12042	 0.050614 
03056951	 56951	  -4	  13.76	  1.224	  1489700	 0.12042	 0.050564 
03056961	 56961	  -2	  13.76	  1.224	  1489100	 0.12042	 0.050555 
03056971	 56971	  2	  13.76	  1.224	  1487800	 0.12042	 0.050538 
03056981	 56981	  4	  13.76	  1.224	  1487200	 0.12042	 0.05053 
03056991	 56991	  6	  13.76	  1.224	  1486600	 0.12042	 0.050521 
