File name	 Run No	  Starting AoA (deg)	  Arc (deg)	  Linear Pitch-Rate (deg/s)	  Reynolds No.	 Mach No.	 Reduced Pitch-Rate 
09036331	 36331	  39	  -40	  -0.72405	  1491300	 0.12116	 -8.3194e-05 
09036341	 36341	  39	  -40	  -1.4342	  1490700	 0.12201	 -0.00016318 
09036351	 36351	  39	  -40	  -2.8805	  1480500	 0.12201	 -0.00032685 
09036361	 36361	  39	  -40	  -4.3414	  1469600	 0.12101	 -0.00049685 
09036371	 36371	  39	  -40	  -5.727	  1464000	 0.12101	 -0.00065444 
09036381	 36381	  39	  -40	  -7.186	  1461500	 0.12101	 -0.00082062 
09036391	 36391	  39	  -40	  -14.388	  1457200	 0.1204	 -0.0016528 
09036401	 36401	  39	  -40	  -28.68	  1452300	 0.1204	 -0.0032901 
09036411	 36411	  39	  -40	  -42.536	  1451000	 0.1204	 -0.004878 
09036421	 36421	  39	  -40	  -56.29	  1453400	 0.12049	 -0.0064523 
09036431	 36431	  39	  -40	  -69.678	  1450300	 0.12049	 -0.0079803 
09036441	 36441	  39	  -40	  -83.434	  1448500	 0.12049	 -0.0095511 
09036451	 36451	  39	  -40	  -91.975	  1447300	 0.12049	 -0.010525 
09036461	 36461	  39	  -40	  -102.64	  1446000	 0.12049	 -0.011742 
09036471	 36471	  39	  -40	  -117.65	  1458000	 0.12031	 -0.013531 
09036481	 36481	  39	  -40	  -132.68	  1452400	 0.12031	 -0.015237 
09036491	 36491	  39	  -40	  -144.79	  1450600	 0.12031	 -0.01662 
09036501	 36501	  39	  -40	  -155.6	  1448700	 0.12031	 -0.017852 
09036511	 36511	  39	  -40	  -167.78	  1462200	 0.12122	 -0.019117 
09036521	 36521	  39	  -40	  -172.6	  1457200	 0.12122	 -0.01964 
09036531	 36531	  39	  -40	  -183.65	  1455900	 0.12122	 -0.020891 
09036541	 36541	  39	  -40	  -193.66	  1454700	 0.12122	 -0.022022 
09036551	 36551	  39	  -40	  -207.26	  1444700	 0.12028	 -0.023761 
09036561	 36561	  39	  -40	  -217.75	  1442800	 0.12028	 -0.024951 
09036571	 36571	  39	  -40	  -233.67	  1441000	 0.12028	 -0.026762 
09036581	 36581	  39	  -40	  -250.46	  1439200	 0.12028	 -0.028671 
09036591	 36591	  39	  -40	  -257.65	  1455800	 0.12146	 -0.029226 
09036601	 36601	  39	  -40	  -268.4	  1453300	 0.12146	 -0.030425 
09036611	 36611	  39	  -40	  -288.36	  1451500	 0.12146	 -0.032671 
09036621	 36621	  39	  -40	  -298.46	  1450300	 0.12146	 -0.033804 
09036631	 36631	  39	  -40	  -28.537	  968480	 0.081111	 -0.00484 
09036651	 36651	  39	  -40	  -170.59	  969710	 0.081111	 -0.028947 
09036661	 36661	  39	  -40	  -264.05	  969300	 0.081111	 -0.044799 
09036861	 36861	  29	  -39	  -301.15	  1443500	 0.12016	 -0.034523 
09036871	 36871	  29	  -39	  -164.34	  1436800	 0.12016	 -0.018805 
09036881	 36881	  29	  -39	  -49.357	  1435600	 0.12016	 -0.005646 
09036891	 36891	  29	  -29	  -281.63	  1447800	 0.12098	 -0.032021 
09036901	 36901	  29	  -29	  -157.4	  1445300	 0.12098	 -0.017884 
09036911	 36911	  29	  -29	  -49.28	  1443500	 0.12098	 -0.0055966 
09036921	 36921	  29	  -25	  -272.48	  1440500	 0.12098	 -0.030919 
09036931	 36931	  29	  -25	  -151.64	  1439300	 0.12098	 -0.017201 
09036941	 36941	  29	  -25	  -48.022	  1438000	 0.12098	 -0.0054456 
09036951	 36951	  30	  -20	  -261.35	  1436800	 0.12098	 -0.029627 
09036961	 36961	  30	  -20	  -145.79	  1436200	 0.12098	 -0.016524 
09036971	 36971	  30	  -20	  -48.438	  1435600	 0.12098	 -0.0054892 
09036981	 36981	  30	  -15	  -241.53	  1439700	 0.12091	 -0.027422 
09036991	 36991	  30	  -15	  -146.05	  1436700	 0.12091	 -0.016568 
09037001	 37001	  30	  -15	  -46.784	  1434900	 0.12091	 -0.0053046 
09037011	 37011	  31	  -11	  -210.06	  1434300	 0.12091	 -0.023814 
09037021	 37021	  31	  -11	  -154.72	  1432500	 0.12091	 -0.017532 
09037031	 37031	  31	  -11	  -47.397	  1431300	 0.12091	 -0.0053689 
09037041	 37041	  30	  -5	  -127.83	  1431300	 0.12091	 -0.01448 
09037051	 37051	  30	  -5	  -110.85	  1430100	 0.12091	 -0.012552 
09037061	 37061	  30	  -5	  -40.593	  1429500	 0.12091	 -0.0045959 
