File name	 Run No	  Start AoA (deg)	  Arc (deg)	  Reynolds No.	  Mach No. 
03000801	 801	  -6	  31	  1562700	  0.12054 
03000811	 811	  -5	  30	  1507300	  0.12229 
03000821	 821	  -5	  30	  1525700	  0.12361 
03000921	 921	  -5	  35	  1494700	  0.11831 
03000931	 931	  -5	  30	  1495600	  0.11833 
03000932	 932	  -5	  25	  1485800	  0.1178 
03001181	 1181	  -5	  35	  1494800	  0.11817 
03001411	 1411	  -5	  30	  806170	  0.063623 
03001421	 1421	  -5	  30	  1007700	  0.079261 
03001431	 1431	  -5	  30	  1513800	  0.12033 
03001801	 1801	  -5	  30	  1469700	  0.11895 
03001811	 1811	  -5	  30	  1487500	  0.12131 
03002911	 2911	  -5	  30	  1523000	  0.12442 
03002921	 2921	  -5	  30	  1932400	  0.15739 
03003341	 3341	  -5	  35	  1486800	  0.11987 
03003351	 3351	  -5	  40	  1480600	  0.11783 
03003363	 3363	  -5	  40	  1486800	  0.11852 
03003371	 3371	  -10	  40	  1482200	  0.11861 
03003381	 3381	  26	  -30	  1488300	  0.1193 
03003391	 3391	  11	  10	  1484500	  0.11885 
03003743	 3743	  -5	  40	  1475700	  0.11923 
03003991	 3991	  -5	  40	  1509000	  0.12134 
03004271	 4271	  -5	  40	  1467000	  0.11866 
03004281	 4281	  -5	  40	  1703500	  0.1386 
03004291	 4291	  -5	  40	  1929700	  0.1578 
03004301	 4301	  -10	  45	  1502700	  0.12084 
03004302	 4302	  -5	  40	  1510900	  0.12132 
03005211	 5211	  -5	  40	  1450300	  0.12072 
03005221	 5221	  -5	  40	  1445300	  0.12098 
03005231	 5231	  5	  -20	  1430700	  0.12026 
03005241	 5241	  5	  12	  1461700	  0.12235 
03005251	 5251	  5	  -21	  1462900	  0.12286 
03005261	 5261	  -17	  51	  1466500	  0.12311 
03005271	 5271	  0	  -17	  1467300	  0.12323 
03005281	 5281	  -5	  40	  1885500	  0.15882 
03005282	 5282	  -5	  40	  1858900	  0.15828 
03005361	 5361	  -5	  40	  1447500	  0.12007 
03005371	 5371	  25	  0	  1461100	  0.1214 
03007001	 7001	  -21	  39	  1420200	  0.11794 
03007011	 7011	  19	  -39	  1422800	  0.1184 
03007021	 7021	  -21	  39	  1411600	  0.11751 
03105381	 105380	  -5	  40	  1450400	  0.12052 
03105391	 105390	  25	  0	  1443200	  0.12037 
03105421	 105420	  -5	  40	  1436900	  0.12015 
03105431	 105430	  -5	  40	  1464100	  0.12129 
03105441	 105440	  -5	  40	  1451500	  0.12091 
03105451	 105450	  23	  10	  1454200	  0.12139 
03105461	 105460	  5	  -21	  1435000	  0.12029 
03105791	 105790	  -5	  40	  1458000	  0.12106 
03105801	 105800	  5	  -21	  1457800	  0.12146 
03105811	 105810	  -5	  40	  1459900	  0.12194 
03105821	 105820	  5	  -21	  1452300	  0.12161 
03105831	 105830	  -5	  40	  1488200	  0.11968 
03105841	 105840	  5	  -21	  1480600	  0.11922 
03105941	 105940	  -5	  40	  1496900	  0.12095 
03105951	 105950	  5	  -21	  1510000	  0.12243 
