File name	 Run No	  Starting AoA (deg)	  Arc (deg)	  Linear Pitch-Rate (deg/s)	  Reynolds No.	 Mach No.	 Reduced Pitch-Rate 
14020441	 20441	  -1	  39	  0.74963	  1465000	 0.1158	 9.0241e-05 
14020451	 20451	  -1	  39	  1.5223	  1469100	 0.11678	 0.00018131 
14020461	 20461	  -1	  39	  3.0112	  1460900	 0.11678	 0.00035786 
14020471	 20471	  -1	  39	  4.4656	  1455500	 0.1161	 0.00053427 
14020481	 20481	  -1	  39	  5.9454	  1447400	 0.1161	 0.00070977 
14020491	 20491	  -1	  39	  7.4079	  1442500	 0.11526	 0.00089213 
14020501	 20501	  -1	  39	  14.882	  1435100	 0.11526	 0.0017886 
14020511	 20511	  -1	  39	  29.397	  1432600	 0.11526	 0.0035308 
14020521	 20521	  -1	  39	  44.2	  1432600	 0.11526	 0.0053087 
14020531	 20531	  -1	  39	  57.628	  1430800	 0.11526	 0.0069181 
14020541	 20541	  -1	  39	  73.371	  1465600	 0.11762	 0.0086448 
14020551	 20551	  -1	  39	  90.166	  1459400	 0.11762	 0.010606 
14020561	 20561	  -1	  39	  101.72	  1458100	 0.11762	 0.011961 
14020571	 20571	  -1	  39	  114.88	  1455600	 0.11762	 0.013499 
14020581	 20581	  -1	  39	  132.24	  1454400	 0.11762	 0.015534 
14020591	 20591	  -1	  39	  150.42	  1442000	 0.11592	 0.017971 
14020601	 20601	  -1	  39	  163.89	  1434600	 0.11592	 0.019541 
14020611	 20611	  -1	  39	  181.18	  1434600	 0.11592	 0.021602 
14020621	 20621	  -1	  39	  192.93	  1430300	 0.11592	 0.022976 
14020631	 20631	  -1	  39	  203.15	  1430300	 0.11592	 0.024193 
14020641	 20641	  -1	  39	  221.72	  1438500	 0.11608	 0.026411 
14020651	 20651	  -1	  39	  237.3	  1434200	 0.11608	 0.028234 
14020661	 20661	  -1	  39	  247	  1431200	 0.11608	 0.029364 
14020671	 20671	  -1	  39	  262.65	  1427500	 0.11608	 0.031193 
14020681	 20681	  -1	  39	  278.48	  1426900	 0.11608	 0.033068 
14020691	 20691	  -1	  39	  294.44	  1431600	 0.11573	 0.035158 
14020701	 20701	  -1	  39	  298.87	  1428000	 0.11573	 0.035651 
14020711	 20711	  -1	  39	  312.48	  1425000	 0.11573	 0.037244 
14020721	 20721	  -1	  39	  327.38	  1424400	 0.11573	 0.039013 
14020731	 20731	  -1	  39	  340.22	  1424400	 0.11573	 0.040543 
14020751	 20751	  -1	  39	  29.054	  1041800	 0.080354	 0.0051003 
14020761	 20761	  -1	  39	  100.05	  1039000	 0.080354	 0.017545 
14020771	 20771	  -1	  39	  206.28	  1038100	 0.080354	 0.036161 
14020781	 20781	  -1	  39	  284.64	  1037100	 0.080354	 0.049881 
14020881	 20881	  -1	  39	  29.654	  1950400	 0.15711	 0.0026178 
14020891	 20891	  -1	  39	  99.99	  1935400	 0.15711	 0.0088004 
14020901	 20901	  -1	  39	  206.77	  1928800	 0.15711	 0.018174 
14020911	 20911	  -1	  39	  290.14	  1920600	 0.15711	 0.02546 
14020931	 20931	  0	  4	  55.371	  1428800	 0.11541	 0.0066421 
14020941	 20941	  0	  4	  99.23	  1426300	 0.11541	 0.011895 
14020951	 20951	  0	  4	  107.98	  1425700	 0.11541	 0.012942 
14020961	 20961	  0	  4	  124.66	  1423900	 0.11541	 0.014934 
14020971	 20971	  0	  4	  121.82	  1423300	 0.11541	 0.014591 
14020981	 20981	  0	  4	  122.31	  1423300	 0.11502	 0.014719 
14020991	 20991	  0	  4	  116.27	  1420900	 0.11502	 0.013983 
14021001	 21001	  0	  4	  113.57	  1419700	 0.11502	 0.013653 
14021011	 21011	  0	  4	  110.79	  1419100	 0.11502	 0.013317 
14021021	 21021	  0	  8	  53.673	  1431900	 0.11576	 0.0064165 
14021031	 21031	  0	  8	  96.268	  1429500	 0.11576	 0.011501 
14021041	 21041	  0	  8	  178.93	  1428300	 0.11576	 0.021369 
14021051	 21051	  0	  8	  173.99	  1427100	 0.11576	 0.020772 
14021061	 21061	  0	  8	  192.55	  1425800	 0.11576	 0.02298 
14021071	 21071	  0	  8	  192.42	  1434500	 0.11627	 0.022881 
14021081	 21081	  0	  8	  190.24	  1432000	 0.11627	 0.022606 
14021091	 21091	  0	  8	  206.56	  1431400	 0.11627	 0.024542 
14021101	 21101	  0	  8	  185.52	  1430200	 0.11627	 0.022035 
14021111	 21111	  0	  12	  52.81	  1432700	 0.11602	 0.006295 
14021121	 21121	  0	  12	  93.357	  1429000	 0.11602	 0.011117 
14021131	 21131	  0	  12	  185.81	  1427800	 0.11602	 0.022119 
