File name	 Run No	  Nominal AoA (deg)	  Average AoA (deg)	  Reynolds No.	  Mach No. 
13040021	 40021	  -4	  -3.88	  1571700	  0.12522 
13040031	 40031	  -2	  -1.89	  1568900	  0.12522 
13040041	 40041	  0	  0.12	  1568200	  0.12522 
13040121	 40121	  13	  13.07	  1556600	  0.12522 
13040131	 40131	  14	  14.05	  1488200	  0.11867 
13040141	 40141	  15	  15.03	  1482900	  0.11867 
13040151	 40151	  16	  16.02	  1481700	  0.11867 
13040161	 40161	  18	  18.14	  1481000	  0.11867 
13040171	 40171	  20	  20.14	  1477100	  0.11867 
13040181	 40181	  22	  22.11	  1476500	  0.11867 
13040191	 40191	  24	  24.12	  1473900	  0.11867 
13040201	 40201	  26	  26.08	  1472600	  0.11867 
13040211	 40211	  28	  28.04	  1470100	  0.11867 
13040221	 40221	  30	  29.98	  1468800	  0.11867 
13040231	 40231	  -4	  -3.86	  1473900	  0.11795 
13040241	 40241	  -2	  -1.83	  1472600	  0.11795 
13040251	 40251	  0	  0.15	  1471400	  0.11795 
13040261	 40261	  2	  2.13	  1470100	  0.11795 
13040271	 40271	  4	  4.11	  1469400	  0.11795 
13040281	 40281	  6	  6.1	  1468100	  0.11795 
13040291	 40291	  8	  8.12	  1467500	  0.11795 
13040301	 40301	  10	  10.13	  1466900	  0.11795 
13040311	 40311	  11	  11.09	  1466200	  0.11795 
13040321	 40321	  12	  12.07	  1464900	  0.11795 
13040331	 40331	  13	  13.04	  1464300	  0.11795 
13040341	 40341	  14	  14.13	  1473400	  0.11816 
13040351	 40351	  15	  15.11	  1470200	  0.11816 
13040361	 40361	  16	  16.09	  1468900	  0.11816 
13040371	 40371	  18	  18.21	  1466400	  0.11816 
13040381	 40381	  20	  20.2	  1464500	  0.11816 
13040391	 40391	  22	  22.21	  1463800	  0.11816 
13040401	 40401	  24	  24.17	  1463200	  0.11816 
13040411	 40411	  26	  26.14	  1461300	  0.11816 
13040421	 40421	  28	  28.09	  1459400	  0.11816 
13040431	 40431	  30	  30.03	  1262800	  0.10251 
