File name	 Run No	  Mean Incidence (deg)	  Amplitude (deg)	  Oscillation Freq. (Hz)	  Reynolds No.	 Mach No.	 Reduced Frequency 
15010561	 10561	  10	  10	  1.49	  1488800	 0.11932	 0.062866 
15010571	 10571	  10	  10	  2.98	  1507100	 0.12079	 0.12421 
15010581	 10581	  10	  10	  4.48	  1516300	 0.12153	 0.1856 
15010591	 10591	  10	  10	  5.97	  1519500	 0.12178	 0.2468 
15010601	 10601	  15	  10	  1.49	  1475100	 0.11822	 0.063451 
15010611	 10611	  15	  10	  2.98	  1506600	 0.12075	 0.12424 
15010621	 10621	  15	  10	  4.48	  1510400	 0.12105	 0.18632 
15010631	 10631	  15	  10	  5.97	  1520700	 0.12188	 0.24661 
15010641	 10641	  10	  15	  0.99	  1468400	 0.11769	 0.042352 
15010651	 10651	  10	  15	  1.99	  1495600	 0.11987	 0.083583 
15010661	 10661	  10	  15	  2.98	  1505900	 0.12069	 0.12431 
15010671	 10671	  10	  15	  3.98	  1510100	 0.12103	 0.16555 
15010681	 10681	  15	  15	  0.99	  1410200	 0.1155	 0.042789 
15010691	 10691	  15	  15	  1.99	  1431700	 0.11727	 0.084715 
15010701	 10701	  15	  15	  2.98	  1448200	 0.11861	 0.12542 
15010711	 10711	  5	  10	  4.48	  1437100	 0.11771	 0.19001 
15010721	 10721	  20	  10	  4.48	  1432500	 0.11733	 0.19061 
15010731	 10731	  25	  10	  4.48	  1407600	 0.11529	 0.19399 
15010741	 10741	  15	  15	  3.98	  1446300	 0.11592	 0.17286 
