File name	 Run No	  Mean AoA (deg)	  Tip Speed Ratio	  Oscillation Freq. (Hz)	  Reynolds No.	 Mach No.	 Reduced Frequency 
08071781	 71781	  0	  6	  0.996	  1470700	 0.12044	 0.041227 
08071791	 71791	  0	  4	  0.996	  1465000	 0.12044	 0.041165 
08071801	 71801	  0	  3.5	  0.996	  1462500	 0.12044	 0.041138 
08071811	 71811	  0	  3.25	  0.996	  1460700	 0.12044	 0.041117 
08071821	 71821	  0	  6	  1.245	  1467300	 0.12068	 0.051346 
08071831	 71831	  0	  4	  1.245	  1459800	 0.12068	 0.051244 
08071841	 71841	  0	  3.5	  1.245	  1459200	 0.12068	 0.051235 
08071851	 71851	  0	  3.25	  1.245	  1458000	 0.12068	 0.051218 
08071861	 71861	  0	  6	  1.494	  1458000	 0.12053	 0.061569 
08071871	 71871	  0	  4	  1.494	  1456200	 0.12053	 0.061538 
08071881	 71881	  0	  3.5	  1.494	  1454900	 0.12053	 0.061518 
08071891	 71891	  0	  3.25	  1.494	  1453700	 0.12053	 0.061497 
