File name	 Run No	  Mean Incidence (deg)	  Amplitude (deg)	  Oscillation Freq. (Hz)	  Reynolds No.	 Mach No.	 Reduced Frequency 
14011691	 11691	  10	  4	  0.233	  1522200	 0.11684	 0.010086 
14011701	 11701	  10	  6	  0.233	  1516900	 0.11684	 0.010072 
14011711	 11711	  10	  8	  0.233	  1514200	 0.11684	 0.010065 
14011721	 11721	  10	  10	  0.233	  1511500	 0.11684	 0.010058 
14011731	 11731	  10	  4	  0.582	  1503300	 0.1162	 0.025263 
14011741	 11741	  10	  6	  0.582	  1500600	 0.1162	 0.025245 
14011751	 11751	  10	  8	  0.582	  1498600	 0.1162	 0.025233 
14011761	 11761	  10	  10	  0.582	  1496000	 0.1162	 0.025215 
14011771	 11771	  10	  4	  1.165	  1510400	 0.11717	 0.050085 
14011781	 11781	  10	  6	  1.165	  1507700	 0.11717	 0.05005 
14011791	 11791	  10	  8	  1.165	  1506400	 0.11717	 0.050033 
14011801	 11801	  10	  10	  1.165	  1504500	 0.11717	 0.050008 
14011811	 11811	  10	  4	  1.747	  1502400	 0.1168	 0.075276 
14011821	 11821	  10	  6	  1.747	  1499800	 0.1168	 0.075225 
14011831	 11831	  10	  8	  1.747	  1497800	 0.1168	 0.075186 
14011841	 11841	  10	  10	  1.747	  1495800	 0.1168	 0.075148 
14011851	 11851	  10	  4	  2.33	  1499800	 0.11701	 0.10008 
14011861	 11861	  10	  6	  2.33	  1497200	 0.11701	 0.10001 
14011871	 11871	  10	  8	  2.33	  1495900	 0.11701	 0.09998 
14011881	 11881	  10	  10	  2.33	  1494600	 0.11701	 0.099946 
14011891	 11891	  10	  4	  2.912	  1514800	 0.11774	 0.12458 
14011901	 11901	  10	  6	  2.912	  1512100	 0.11774	 0.1245 
14011911	 11911	  10	  8	  2.912	  1510800	 0.11774	 0.12446 
14011921	 11921	  10	  10	  2.912	  1508800	 0.11774	 0.12439 
14011931	 11931	  10	  4	  3.496	  1497100	 0.11677	 0.1506 
14011941	 11941	  10	  6	  3.496	  1494400	 0.11677	 0.1505 
14011951	 11951	  10	  8	  3.496	  1493100	 0.11677	 0.15045 
14011961	 11961	  10	  10	  3.496	  1491800	 0.11677	 0.1504 
14011971	 11971	  10	  4	  4.077	  1485000	 0.11608	 0.17653 
14011981	 11981	  10	  6	  4.077	  1483000	 0.11608	 0.17644 
14011991	 11991	  10	  8	  4.077	  1481100	 0.11608	 0.17635 
14012001	 12001	  10	  10	  4.077	  1480400	 0.11608	 0.17632 
14012011	 12011	  3	  8	  0.233	  1478600	 0.11563	 0.010126 
14012021	 12021	  4	  8	  0.233	  1474100	 0.11563	 0.010114 
14012031	 12031	  5	  8	  0.233	  1471500	 0.11563	 0.010107 
14012041	 12041	  6	  8	  0.233	  1469000	 0.11563	 0.0101 
14012051	 12051	  7	  8	  0.233	  1467100	 0.11563	 0.010095 
14012061	 12061	  8	  8	  0.233	  1473500	 0.11589	 0.010081 
14012071	 12071	  9	  8	  0.233	  1469700	 0.11589	 0.010071 
14012081	 12081	  11	  8	  0.233	  1467100	 0.11589	 0.010064 
14012091	 12091	  12	  8	  0.233	  1465200	 0.11589	 0.010059 
14012101	 12101	  13	  8	  0.233	  1463300	 0.11589	 0.010054 
14012111	 12111	  14	  8	  0.233	  1466900	 0.11597	 0.010053 
14012121	 12121	  15	  8	  0.233	  1463100	 0.11597	 0.010043 
14012131	 12131	  16	  8	  0.233	  1461300	 0.11597	 0.010038 
14012141	 12141	  17	  8	  0.233	  1458700	 0.11597	 0.010031 
