File name	 Run No	  Mean Incidence (deg)	  Amplitude (deg)	  Oscillation Freq. (Hz)	  Reynolds No.	 Mach No.	 Reduced Frequency 
02010011	 10011	  10	  4	  0.235	  1352300	 0.11366	 0.010236 
02010021	 10021	  10	  4	  0.587	  1415300	 0.11896	 0.02443 
02010031	 10031	  10	  4	  1.174	  1408300	 0.11836	 0.049105 
02010041	 10041	  10	  4	  1.761	  1378400	 0.1128	 0.077288 
02010051	 10051	  10	  4	  2.348	  1424400	 0.11657	 0.099725 
02010061	 10061	  10	  4	  2.935	  1438400	 0.11771	 0.12345 
02010071	 10071	  10	  4	  3.523	  1428500	 0.1169	 0.1492 
02010081	 10081	  10	  4	  4.243	  1439500	 0.1178	 0.17832 
02010111	 10111	  10	  6	  0.587	  1419800	 0.11619	 0.025012 
02010121	 10121	  10	  6	  1.174	  1433000	 0.11727	 0.049565 
02010131	 10131	  10	  6	  1.761	  1428200	 0.11688	 0.074596 
02010141	 10141	  10	  6	  2.348	  1436300	 0.11754	 0.098901 
02010151	 10151	  10	  6	  2.935	  1421700	 0.11635	 0.12489 
02010161	 10161	  10	  6	  3.523	  1420600	 0.11625	 0.15003 
02010171	 10171	  10	  6	  4.11	  1426000	 0.1167	 0.17436 
02010191	 10191	  10	  8	  0.235	  1417300	 0.11598	 0.010031 
02010201	 10201	  10	  8	  0.587	  1426200	 0.11671	 0.024899 
02010211	 10211	  10	  8	  1.174	  1421500	 0.11633	 0.049963 
02010221	 10221	  10	  8	  1.761	  1435300	 0.11746	 0.074223 
02010231	 10231	  10	  8	  2.348	  1429900	 0.11702	 0.099339 
02010241	 10241	  10	  8	  2.935	  1439600	 0.11781	 0.12334 
02010251	 10251	  10	  8	  3.523	  1414300	 0.11574	 0.1507 
02010261	 10261	  10	  8	  4.11	  1422300	 0.11639	 0.17482 
02010291	 10291	  10	  10	  0.587	  1429800	 0.11778	 0.024674 
02010301	 10301	  10	  10	  1.174	  1432600	 0.11801	 0.049252 
02010311	 10311	  10	  10	  1.761	  1425500	 0.11743	 0.074245 
02010331	 10331	  10	  10	  2.935	  1437600	 0.11843	 0.1227 
02010341	 10341	  10	  10	  3.523	  1415900	 0.11664	 0.14954 
02010351	 10351	  10	  10	  4.11	  1419600	 0.11694	 0.174 
02010361	 10361	  4	  10	  0.235	  1422900	 0.11721	 0.0099261 
02010371	 10371	  4	  10	  0.587	  1411900	 0.11631	 0.024986 
02010381	 10381	  4	  10	  1.174	  1427400	 0.11758	 0.049431 
02010391	 10391	  4	  10	  1.761	  1439000	 0.11854	 0.073548 
02010401	 10401	  4	  10	  2.348	  1420600	 0.11703	 0.099332 
02010411	 10411	  4	  10	  2.935	  1434900	 0.11821	 0.12293 
02010421	 10421	  4	  10	  3.523	  1419600	 0.11694	 0.14915 
02010431	 10431	  4	  10	  4.11	  1422100	 0.11715	 0.17369 
02010451	 10451	  6	  10	  0.587	  1410900	 0.117	 0.024839 
02010461	 10461	  6	  10	  1.174	  1402200	 0.11628	 0.049985 
02010471	 10471	  6	  10	  1.761	  1415800	 0.11741	 0.074257 
02010481	 10481	  6	  10	  2.348	  1413900	 0.11725	 0.099144 
02010491	 10491	  6	  10	  2.935	  1397300	 0.11588	 0.1254 
02010501	 10501	  6	  10	  3.523	  1410800	 0.117	 0.14908 
02010511	 10511	  6	  10	  4.11	  1417500	 0.11754	 0.17311 
02010521	 10521	  8	  10	  0.235	  1429400	 0.11775	 0.0098805 
02010531	 10531	  8	  10	  0.587	  1392200	 0.11545	 0.025173 
02010561	 10561	  8	  10	  2.348	  1399000	 0.11602	 0.1002 
02010571	 10571	  8	  10	  2.935	  1417100	 0.11752	 0.12365 
02010581	 10581	  8	  10	  3.523	  1392800	 0.1155	 0.15101 
02010591	 10591	  8	  10	  4.11	  1396500	 0.11581	 0.17571 
02010601	 10601	  15	  10	  0.235	  1400100	 0.11534	 0.010088 
02010611	 10611	  15	  10	  0.587	  1392300	 0.11546	 0.02517 
02010621	 10621	  15	  10	  1.174	  1398700	 0.11599	 0.050112 
02010631	 10631	  15	  10	  1.761	  1415100	 0.11735	 0.074296 
02010641	 10641	  15	  10	  2.348	  1397100	 0.11585	 0.10034 
02010651	 10651	  15	  10	  2.935	  1414100	 0.11727	 0.12391 
02010661	 10661	  15	  10	  3.523	  1391900	 0.11542	 0.15111 
02010671	 10671	  15	  10	  4.11	  1403200	 0.11636	 0.17487 
02010681	 10681	  20	  10	  0.235	  1392800	 0.1155	 0.010073 
02010691	 10691	  20	  10	  0.587	  1391400	 0.11538	 0.025187 
02010701	 10701	  20	  10	  1.174	  1394100	 0.1156	 0.050277 
02010711	 10711	  20	  10	  1.761	  1401400	 0.11622	 0.07502 
02010721	 10721	  20	  10	  2.348	  1395000	 0.11568	 0.10049 
02010731	 10731	  20	  10	  2.935	  1401700	 0.11624	 0.12501 
02010741	 10741	  20	  10	  3.523	  1391700	 0.11541	 0.15113 
02010751	 10751	  20	  10	  4.11	  1406300	 0.11662	 0.17448 
02010761	 10761	  10	  10	  0.235	  1408600	 0.11527	 0.010093 
02010771	 10771	  10	  10	  0.587	  1433000	 0.11727	 0.024782 
02010781	 10781	  10	  10	  1.174	  1412000	 0.11555	 0.0503 
02010791	 10791	  10	  10	  1.761	  1423000	 0.11646	 0.074864 
02010801	 10801	  10	  10	  2.348	  1417900	 0.11604	 0.10018 
02010811	 10811	  10	  10	  2.935	  1414600	 0.11577	 0.12552 
02010821	 10821	  10	  10	  3.523	  1414000	 0.11572	 0.15073 
02010831	 10831	  10	  10	  4.11	  1420500	 0.11625	 0.17504 
02010841	 10841	  20	  10	  0.482	  1407400	 0.11517	 0.02072 
02010851	 10851	  20	  10	  0.722	  1415500	 0.11584	 0.030858 
02010861	 10861	  20	  10	  0.962	  1405500	 0.11502	 0.041406 
02010871	 10871	  20	  10	  1.207	  1413000	 0.11563	 0.051679 
