File name	 Run No	  Starting AoA (deg)	  Arc (deg)	  Linear Pitch-Rate (deg/s)	  Reynolds No.	 Mach No.	 Reduced Pitch-Rate 
06025001	 25001	  0	  4	  33.144	  1491900	 0.11924	 0.0038781 
06025011	 25011	  0	  4	  47.71	  1486000	 0.11924	 0.0055739 
06025021	 25021	  0	  4	  50.864	  1484100	 0.11924	 0.0059394 
06025031	 25031	  0	  4	  48.08	  1482800	 0.11924	 0.0056124 
06025091	 25091	  0	  8	  46.096	  1493200	 0.11976	 0.0053628 
06025101	 25101	  0	  8	  74.347	  1487400	 0.11976	 0.0086364 
06025111	 25111	  0	  7	  98.977	  1486100	 0.11976	 0.011494 
06025121	 25121	  0	  7	  101.81	  1484200	 0.11976	 0.011817 
06025141	 25141	  0	  7	  100.94	  1494900	 0.12031	 0.011674 
06025151	 25151	  0	  7	  101.86	  1489700	 0.12031	 0.011764 
06025161	 25161	  0	  7	  113.28	  1488400	 0.12031	 0.013079 
06025171	 25171	  0	  7	  99.228	  1487200	 0.12031	 0.011452 
06025181	 25181	  0	  7	  107.09	  1485200	 0.12031	 0.012354 
06025191	 25191	  0	  13	  46.697	  1492500	 0.12043	 0.0053896 
06025201	 25201	  0	  13	  82.915	  1486700	 0.12043	 0.0095554 
06025211	 25211	  0	  13	  130.4	  1484800	 0.12043	 0.01502 
06025221	 25221	  0	  13	  152.27	  1482900	 0.12043	 0.01753 
06025231	 25231	  0	  12	  157.99	  1485600	 0.12024	 0.018242 
06025241	 25241	  0	  12	  159.66	  1479900	 0.12024	 0.018407 
06025251	 25251	  0	  12	  155.19	  1478600	 0.12024	 0.017886 
06025261	 25261	  0	  12	  163.12	  1478000	 0.12024	 0.018797 
06025271	 25271	  0	  12	  155.23	  1476100	 0.12024	 0.017878 
06025281	 25281	  0	  30	  49.526	  1475200	 0.11966	 0.0057415 
06025291	 25291	  0	  30	  95.96	  1468900	 0.11966	 0.011106 
06025301	 25301	  0	  30	  171.06	  1467000	 0.11966	 0.019788 
06025311	 25311	  0	  30	  227.59	  1465200	 0.11966	 0.026314 
06025321	 25321	  0	  30	  249.32	  1465200	 0.11966	 0.028826 
06025331	 25331	  -1	  38	  0.74375	  1461300	 0.11899	 8.6577e-05 
06025341	 25341	  -1	  38	  1.4877	  1468600	 0.12019	 0.0001711 
06025351	 25351	  -1	  38	  2.9502	  1461100	 0.12019	 0.00033862 
06025361	 25361	  -1	  38	  4.4098	  1456100	 0.11963	 0.00050877 
06025371	 25371	  -1	  38	  5.9341	  1450600	 0.11963	 0.00068362 
06025381	 25381	  -1	  38	  7.44	  1449400	 0.11963	 0.00085681 
06025391	 25391	  -1	  38	  14.719	  1467600	 0.11878	 0.0017204 
06025401	 25401	  -1	  38	  29.503	  1459400	 0.11878	 0.0034408 
06025411	 25411	  -1	  38	  45.016	  1456900	 0.11878	 0.0052465 
06025421	 25421	  -1	  38	  59.634	  1470300	 0.11962	 0.0069077 
06025431	 25431	  -1	  38	  73.789	  1464000	 0.11962	 0.008533 
06025441	 25441	  -1	  38	  89.916	  1462100	 0.11962	 0.010393 
06025451	 25451	  -1	  38	  99.677	  1460300	 0.11962	 0.011515 
06025461	 25461	  -1	  38	  113.15	  1459600	 0.11962	 0.013069 
06025471	 25471	  -1	  38	  126.06	  1470700	 0.12011	 0.01452 
06025481	 25481	  -1	  38	  140.76	  1462600	 0.12011	 0.016178 
06025491	 25491	  -1	  38	  155.89	  1461300	 0.12011	 0.017911 
06025501	 25501	  -1	  38	  165.37	  1459500	 0.12011	 0.018991 
06025511	 25511	  -1	  38	  179.25	  1461900	 0.1198	 0.020672 
06025521	 25521	  -1	  38	  187.3	  1456300	 0.1198	 0.021569 
06025531	 25531	  -1	  38	  199.66	  1454500	 0.1198	 0.02298 
06025541	 25541	  -1	  38	  213.74	  1452600	 0.1198	 0.024589 
06025551	 25551	  -1	  38	  225.74	  1451900	 0.11933	 0.026106 
06025561	 25561	  -1	  38	  237.99	  1446300	 0.11933	 0.027481 
06025571	 25571	  -1	  38	  245.24	  1444500	 0.11933	 0.028305 
06025581	 25581	  -1	  38	  256.92	  1443300	 0.11933	 0.029643 
06025591	 25591	  -1	  38	  263.62	  1446200	 0.11907	 0.030534 
06025601	 25601	  -1	  37	  281.17	  1441300	 0.11907	 0.032524 
06025611	 25611	  -1	  37	  287.47	  1439400	 0.11907	 0.033236 
06025621	 25621	  -1	  38	  294.84	  1437600	 0.11907	 0.034071 
06025631	 25631	  -1	  31	  50.15	  995390	 0.082057	 0.0084243 
06025641	 25641	  -1	  31	  98.284	  995390	 0.082057	 0.01651 
06025651	 25651	  -1	  31	  183.89	  994970	 0.082057	 0.030885 
06025691	 25691	  -1	  31	  182.73	  1859200	 0.15516	 0.016157 
06025701	 25701	  -1	  30	  244.62	  1854600	 0.15516	 0.021607 
