File name	 Run No	  Start AoA (deg)	  Arc (deg)	  Reynolds No.	  Mach No. 
14000011	 11	  -2	  30	  1510300	  0.1173 
14000741	 741	  -2	  30	  1040600	  0.08001 
14000831	 831	  -2	  30	  2068400	  0.16225 
14000921	 921	  -2	  30	  1427700	  0.11557 
14001681	 1681	  -2	  30	  1536200	  0.11723 
14002311	 2311	  -2	  30	  1559400	  0.11844 
14003471	 3471	  -2	  30	  1555500	  0.11922 
14003871	 3871	  -2	  30	  988350	  0.077478 
14004041	 4041	  -2	  30	  1934300	  0.15462 
14004211	 4211	  -2	  30	  1991300	  0.15494 
14004361	 4361	  -2	  30	  1077100	  0.084894 
14004511	 4511	  -2	  30	  780270	  0.061608 
14004661	 4661	  -2	  30	  1519600	  0.11771 
14805371	 805370	  -2	  30	  1531100	  0.11829 
14805571	 805570	  -2	  31	  1554200	  0.11922 
14806131	 806130	  -2	  31	  1537300	  0.11797 
