File name	 Run No	  Start AoA (deg)	  Arc (deg)	  Reynolds No.	  Mach No. 
08000011	 11	  0	  25	  821720	  0.06456 
08000021	 21	  0	  -25	  821980	  0.064724 
08000031	 31	  0	  25	  1120500	  0.088383 
08000041	 41	  0	  -25	  1122600	  0.088829 
08000051	 51	  0	  25	  1506600	  0.11958 
08000061	 61	  0	  -25	  1508100	  0.12065 
08000071	 71	  0	  25	  2005400	  0.16078 
08000081	 81	  0	  -25	  1970200	  0.16105 
08400091	 400090	  180	  23	  798770	  0.065023 
08400101	 101	  180	  -23	  799970	  0.065149 
08400111	 111	  180	  23	  1088800	  0.088674 
08400121	 121	  180	  -23	  1093300	  0.089269 
08400131	 131	  180	  23	  1486300	  0.12157 
08400141	 141	  180	  -24	  1475200	  0.12149 
08400151	 151	  180	  24	  1892500	  0.15731 
08400161	 161	  180	  -24	  1865100	  0.15714 
