File name	 Run No	  Start AoA (deg)	  Arc (deg)	  Reynolds No.	  Mach No. 
05000011	 11	  0	  25	  823450	  0.065257 
05000021	 21	  0	  -25	  821480	  0.064988 
05000031	 31	  0	  25	  1110300	  0.087872 
05000041	 41	  0	  -25	  1097300	  0.086919 
05000051	 51	  0	  25	  1514100	  0.11978 
05000061	 61	  0	  -25	  1500400	  0.11921 
05000071	 71	  0	  25	  1973000	  0.15785 
05000081	 81	  0	  -25	  1937000	  0.15749 
05400091	 91	  180	  25	  785100	  0.062711 
05400101	 101	  180	  -25	  800450	  0.064019 
05400111	 111	  180	  25	  1114300	  0.08893 
05400121	 121	  180	  -25	  1106800	  0.088482 
05400131	 131	  180	  25	  1479000	  0.11829 
05400141	 141	  180	  -25	  1480300	  0.11905 
05400151	 151	  180	  25	  1895900	  0.15351 
05400161	 161	  180	  -25	  1897500	  0.15344 
