File name	 Run No	  Nominal AoA (deg)	  Average AoA (deg)	  Reynolds No.	  Mach No. 
14040021	 40021	  -4	  -3.93	  1505000	  0.1172 
14040031	 40031	  -2	  -1.95	  1500400	  0.1172 
14040041	 40041	  0	  0.02	  1499700	  0.1172 
14040051	 40051	  2	  2.01	  1498400	  0.1172 
14040061	 40061	  4	  3.99	  1497100	  0.1172 
14040071	 40071	  6	  6.01	  1497100	  0.1172 
14040081	 40081	  8	  8.03	  1495100	  0.1172 
14040091	 40091	  10	  10.06	  1494500	  0.1172 
14040101	 40101	  11	  11.06	  1493200	  0.1172 
14040111	 40111	  12	  12.13	  1491800	  0.1172 
14040121	 40121	  13	  13.15	  1491200	  0.1172 
14040131	 40131	  14	  14.09	  1490200	  0.11692 
14040141	 40141	  15	  15.13	  1486900	  0.11692 
14040151	 40151	  16	  16.18	  1486300	  0.11692 
14040161	 40161	  18	  18.22	  1483700	  0.11692 
14040171	 40171	  20	  20.22	  1482400	  0.11692 
14040181	 40181	  22	  22.27	  1480400	  0.11692 
14040191	 40191	  24	  24.23	  1478500	  0.11692 
14040201	 40201	  26	  26.17	  1477200	  0.11692 
14040211	 40211	  28	  28.11	  1476000	  0.11692 
14040221	 40221	  30	  30.08	  1474000	  0.11692 
14040231	 40231	  -4	  -3.95	  1478900	  0.11654 
14040241	 40241	  -2	  -1.96	  1477000	  0.11654 
14040251	 40251	  0	  -0.05	  1475700	  0.11654 
14040261	 40261	  2	  1.91	  1475000	  0.11654 
14040271	 40271	  4	  3.94	  1473700	  0.11654 
14040281	 40281	  6	  5.95	  1472500	  0.11654 
14040291	 40291	  8	  7.99	  1472500	  0.11654 
14040301	 40301	  10	  10.04	  1471200	  0.11654 
14040311	 40311	  11	  11.03	  1471200	  0.11654 
14040321	 40321	  12	  12.1	  1469300	  0.11654 
14040331	 40331	  13	  13.12	  1468600	  0.11654 
14040341	 40341	  14	  14.19	  1471500	  0.11642 
14040351	 40351	  15	  15.2	  1468900	  0.11642 
14040361	 40361	  16	  16.19	  1467700	  0.11642 
14040371	 40371	  18	  18.23	  1466400	  0.11642 
14040381	 40381	  20	  20.25	  1465800	  0.11642 
14040391	 40391	  22	  22.22	  1464500	  0.11642 
14040401	 40401	  24	  24.19	  1462000	  0.11642 
14040411	 40411	  26	  26.24	  1460100	  0.11642 
14040421	 40421	  28	  28.17	  1459400	  0.11642 
14040431	 40431	  30	  30.05	  1457500	  0.11642 
