File name	 Run No	  Nominal AoA (deg)	  Average AoA (deg)	  Reynolds No.	  Mach No. 
03040011	 40011	  -10	  -9.74	  1492900	  0.12051 
03040021	 40021	  -8	  -8.29	  1486500	  0.12051 
03040031	 40031	  -8	  -7.84	  1485300	  0.12051 
03040041	 40041	  -6	  -6.02	  1484600	  0.12051 
03040051	 40051	  -4	  -3.65	  1484000	  0.12051 
03040061	 40061	  -3	  -2.41	  1484000	  0.12051 
03040071	 40071	  -2	  -2.07	  1482800	  0.12051 
03040081	 40081	  -2	  -1.67	  1482800	  0.12051 
03040091	 40091	  1	  0.86	  1482100	  0.12051 
03040101	 40101	  2	  2.64	  1481500	  0.12051 
03040111	 40111	  3	  3.36	  1480900	  0.12051 
03040121	 40121	  3	  3.62	  1480900	  0.12051 
03040131	 40131	  5	  5.01	  1480300	  0.12051 
03040141	 40141	  7	  6.56	  1480300	  0.12051 
03040151	 40151	  7	  7.54	  1479600	  0.12051 
03040161	 40161	  10	  9.6	  1479600	  0.12051 
03040171	 40171	  11	  12.4	  1490300	  0.12097 
03040181	 40181	  12	  12.41	  1487200	  0.12097 
03040191	 40191	  13	  12.95	  1485900	  0.12097 
03040201	 40201	  13	  13.56	  1485300	  0.12097 
03040211	 40211	  14	  14.15	  1485300	  0.12097 
03040221	 40221	  15	  14.91	  1484600	  0.12097 
03040231	 40231	  16	  16.16	  1484000	  0.12097 
03040241	 40241	  17	  16.65	  1484000	  0.12097 
03040251	 40251	  17	  17.36	  1484000	  0.12097 
03040261	 40261	  18	  18.04	  1484000	  0.12097 
03040271	 40271	  18	  18.27	  1483400	  0.12097 
03040281	 40281	  20	  20.59	  1483400	  0.12097 
03040291	 40291	  22	  22.11	  1482800	  0.12097 
03040301	 40301	  24	  24.23	  1482100	  0.12097 
03040311	 40311	  26	  26.39	  1482100	  0.12097 
03040321	 40321	  28	  28.4	  1480900	  0.12097 
03040331	 40331	  30	  30.19	  1481500	  0.12097 
03040341	 40341	  32	  32.07	  1480900	  0.12097 
03040351	 40351	  34	  34.04	  1480300	  0.12097 
03040361	 40361	  37	  37.15	  1479700	  0.12097 
03040371	 40371	  38	  37.98	  1487200	  0.12128 
03040501	 40501	  0	  -0.37	  1476100	  0.1199 
03040511	 40511	  2	  2.11	  1471000	  0.1199 
03040521	 40521	  4	  4.25	  1469800	  0.1199 
03040531	 40531	  6	  6.35	  1468600	  0.1199 
03040541	 40541	  8	  8.56	  1467900	  0.1199 
03040551	 40551	  10	  10.32	  1467300	  0.1199 
03040561	 40561	  12	  12.44	  1466700	  0.1199 
03040571	 40571	  13	  13.68	  1466100	  0.1199 
03040581	 40581	  14	  14.38	  1464800	  0.1199 
03040591	 40591	  15	  15.44	  1464200	  0.1199 
03040601	 40601	  16	  16.38	  1464800	  0.1199 
03040611	 40611	  18	  18.7	  1464200	  0.1199 
03040621	 40621	  20	  20.52	  1463000	  0.1199 
03040631	 40631	  24	  24.91	  1462300	  0.1199 
03040641	 40641	  30	  30.77	  1461700	  0.1199 
03040651	 40651	  0	  0.19	  1491600	  0.11969 
03040671	 40671	  4	  4.34	  1485800	  0.11969 
03040681	 40681	  6	  6.32	  1485200	  0.11969 
03040691	 40691	  8	  8.73	  1484600	  0.11969 
03040701	 40701	  10	  10.21	  1483300	  0.11969 
03040711	 40711	  12	  12.56	  1482700	  0.11969 
03040721	 40721	  13	  13.41	  1482700	  0.11969 
03040731	 40731	  14	  14.54	  1482000	  0.11969 
03040741	 40741	  15	  15.13	  1482000	  0.11969 
03040751	 40751	  16	  16.28	  1481400	  0.11969 
03040761	 40761	  18	  18.51	  1482000	  0.11969 
03040771	 40771	  20	  20.52	  1482000	  0.11969 
03040781	 40781	  24	  24.56	  1482000	  0.11969 
03040791	 40791	  30	  30.95	  1480800	  0.11969 
03045341	 45341	  26	  25.97	  1450800	  0.1209 
03045351	 45351	  27	  26.58	  1448300	  0.1209 
03145401	 145400	  26	  26.24	  1439500	  0.12052 
03145411	 145410	  27	  26.89	  1437000	  0.12052 
03145471	 145470	  -5	  -5.24	  1456100	  0.12242 
03145481	 145480	  0	  0.1	  1453000	  0.12242 
03145491	 145490	  5	  5.1	  1452400	  0.12242 
03145501	 145500	  10	  10.14	  1452400	  0.12242 
03145511	 145510	  15	  15.08	  1452400	  0.12242 
03145521	 145520	  20	  19.99	  1422200	  0.11917 
03145531	 145530	  25	  25.38	  1417500	  0.11917 
03145541	 145540	  28	  28.19	  1417500	  0.11917 
03145551	 145550	  30	  30.41	  1416300	  0.11917 
03145561	 145560	  35	  35.06	  1416300	  0.11917 
03145851	 145850	  -6	  -5.62	  1476000	  0.11921 
03145861	 145860	  0	  0.18	  1474100	  0.11921 
03145871	 145870	  5	  5.03	  1474100	  0.11921 
03145881	 145880	  10	  10.3	  1475400	  0.11921 
03145891	 145890	  15	  14.95	  1472900	  0.11921 
03145901	 145900	  20	  20.13	  1472900	  0.11921 
03145911	 145910	  25	  25.21	  1472900	  0.11921 
03145921	 145920	  30	  30.08	  1472200	  0.11921 
03145931	 145930	  35	  35.25	  1471000	  0.11921 
