File name	 Run No	  Nominal AoA (deg)	  Average AoA (deg)	  Reynolds No.	  Mach No. 
07040171	 40171	  0	  0.12	  1441300	  0.11894 
07040181	 40181	  1	  1.25	  1435200	  0.11894 
07040191	 40191	  2	  2.29	  1434600	  0.11894 
07040201	 40201	  3	  2.82	  1434000	  0.11894 
07040211	 40211	  4	  4.1	  1434000	  0.11894 
07040221	 40221	  5	  5.37	  1433400	  0.11894 
07040231	 40231	  6	  6.27	  1433400	  0.11894 
07040241	 40241	  7	  7.29	  1432800	  0.11894 
07040251	 40251	  8	  8.55	  1432800	  0.11894 
07040261	 40261	  9	  9.5	  1432200	  0.11894 
07040271	 40271	  10	  10.38	  1431500	  0.11894 
07040281	 40281	  11	  11.51	  1431500	  0.11894 
07040291	 40291	  12	  12.47	  1431500	  0.11894 
07040301	 40301	  13	  13.31	  1430900	  0.11894 
07040311	 40311	  14	  14.33	  1435100	  0.11858 
07040321	 40321	  15	  15.61	  1429000	  0.11858 
07040331	 40331	  16	  16.39	  1429000	  0.11858 
07040341	 40341	  17	  17.37	  1428400	  0.11858 
07040351	 40351	  18	  18.54	  1428400	  0.11858 
07040361	 40361	  19	  19.27	  1428400	  0.11858 
07040371	 40371	  20	  20.33	  1428100	  0.11858 
07040381	 40381	  21	  21.39	  1427200	  0.11858 
07040391	 40391	  22	  22.52	  1427200	  0.11858 
07040401	 40401	  23	  23.59	  1426600	  0.11858 
07040411	 40411	  24	  24.61	  1426600	  0.11858 
07040421	 40421	  25	  25.76	  1426600	  0.11858 
07040431	 40431	  26	  26.77	  1426600	  0.11858 
07040441	 40441	  27	  27.95	  1426000	  0.11858 
07040451	 40451	  28	  28.06	  1477900	  0.11933 
07040461	 40461	  29	  28.93	  1471600	  0.11933 
07040471	 40471	  30	  29.9	  1471000	  0.11933 
07040481	 40481	  31	  30.78	  1470300	  0.11933 
07040491	 40491	  32	  31.62	  1469100	  0.11933 
07040501	 40501	  33	  32.43	  1468400	  0.11933 
07040511	 40511	  34	  33.17	  1467800	  0.11933 
07040521	 40521	  35	  34.04	  1467200	  0.11933 
07040531	 40531	  0	  -0.17	  1470300	  0.11912 
07040541	 40541	  1	  0.77	  1467100	  0.11912 
07040551	 40551	  2	  1.72	  1466500	  0.11912 
07040561	 40561	  3	  2.67	  1465900	  0.11912 
07040571	 40571	  4	  3.62	  1465900	  0.11912 
07040581	 40581	  5	  4.83	  1465300	  0.11912 
07040591	 40591	  6	  5.98	  1464600	  0.11912 
07040601	 40601	  7	  7.09	  1464600	  0.11912 
07040611	 40611	  8	  8.04	  1464000	  0.11912 
07040621	 40621	  9	  9.03	  1463400	  0.11912 
07040631	 40631	  10	  10.18	  1463400	  0.11912 
07040641	 40641	  11	  11.14	  1463400	  0.11912 
07040651	 40651	  12	  12.07	  1462800	  0.11912 
07040661	 40661	  13	  12.96	  1462100	  0.11912 
07040671	 40671	  19	  18.96	  1464600	  0.11882 
07040681	 40681	  15	  14.32	  1459600	  0.11882 
07040691	 40691	  16	  15.09	  1458400	  0.11882 
07040701	 40701	  17	  16.16	  1458400	  0.11882 
07040711	 40711	  18	  17.15	  1457800	  0.11882 
07040721	 40721	  19	  18.22	  1457800	  0.11882 
07040731	 40731	  20	  19.27	  1457800	  0.11882 
07040741	 40741	  21	  20.14	  1457200	  0.11882 
07040751	 40751	  22	  21.22	  1456500	  0.11882 
07040761	 40761	  23	  22.02	  1456500	  0.11882 
07040771	 40771	  24	  23.3	  1455900	  0.11882 
07040781	 40781	  25	  24.26	  1455900	  0.11882 
07040791	 40791	  26	  25.17	  1455900	  0.11882 
07040801	 40801	  27	  26.25	  1455900	  0.11882 
07040811	 40811	  28	  26.82	  1467200	  0.11913 
07040821	 40821	  30	  28.36	  1462200	  0.11913 
07040831	 40831	  31	  29.45	  1461600	  0.11913 
07040841	 40841	  32	  30.4	  1461000	  0.11913 
07040851	 40851	  33	  31.46	  1421200	  0.11593 
07040861	 40861	  34	  32.46	  1459700	  0.11913 
07040871	 40871	  35	  33.43	  1458500	  0.11913 
