File name	 Run No	  Mean AoA (deg)	  Tip Speed Ratio	  Oscillation Freq. (Hz)	  Reynolds No.	 Mach No.	 Reduced Frequency 
06071781	 71781	  0	  6	  0.996	  1525100	 0.12064	 0.041538 
06071791	 71791	  0	  4	  0.996	  1516500	 0.12064	 0.041446 
06071801	 71801	  0	  3.5	  0.996	  1514500	 0.12064	 0.041425 
06071811	 71811	  0	  3.25	  0.996	  1512500	 0.12064	 0.041404 
06071821	 71821	  0	  6	  1.245	  1511200	 0.12038	 0.051893 
06071831	 71831	  0	  4	  1.245	  1507300	 0.12038	 0.05184 
06071841	 71841	  0	  3.5	  1.245	  1505300	 0.12038	 0.051814 
06071851	 71851	  0	  3.25	  1.245	  1503400	 0.12038	 0.051788 
06071861	 71861	  0	  6	  1.494	  1507100	 0.12041	 0.062179 
06071871	 71871	  0	  4	  1.494	  1502500	 0.12041	 0.062106 
06071881	 71881	  0	  3.5	  1.494	  1501200	 0.12041	 0.062085 
06071891	 71891	  0	  3.25	  1.494	  1499900	 0.12041	 0.062064 
