File name	 Run No	  Starting AoA (deg)	  Arc (deg)	  Linear Pitch-Rate (deg/s)	  Reynolds No.	 Mach No.	 Reduced Pitch-Rate 
08036331	 36331	  39	  -40	  -0.72904	  1456200	 0.11817	 -8.5128e-05 
08036341	 36341	  39	  -40	  -1.4678	  1448300	 0.11827	 -0.00017081 
08036351	 36351	  39	  -40	  -2.9404	  1441000	 0.11827	 -0.0003415 
08036361	 36361	  39	  -40	  -4.4066	  1442400	 0.11819	 -0.0005125 
08036371	 36371	  39	  -40	  -5.8333	  1437500	 0.11819	 -0.00067754 
08036381	 36381	  39	  -40	  -7.319	  1435700	 0.11819	 -0.00084969 
08036391	 36391	  39	  -40	  -14.507	  1463800	 0.11878	 -0.0016852 
08036401	 36401	  39	  -40	  -29.14	  1452000	 0.11878	 -0.0033744 
08036411	 36411	  39	  -40	  -43.644	  1449000	 0.11878	 -0.0050498 
08036421	 36421	  39	  -40	  -57.212	  1455500	 0.11901	 -0.0066134 
08036431	 36431	  39	  -40	  -71.25	  1451200	 0.11901	 -0.0082266 
08036441	 36441	  39	  -40	  -83.575	  1450000	 0.11901	 -0.0096465 
08036451	 36451	  39	  -40	  -93.384	  1448800	 0.11901	 -0.010775 
08036461	 36461	  39	  -40	  -106.02	  1446900	 0.11901	 -0.012227 
08036471	 36471	  39	  -40	  -120.65	  1460100	 0.11864	 -0.014025 
08036481	 36481	  39	  -40	  -133.44	  1454600	 0.11864	 -0.015489 
08036491	 36491	  39	  -40	  -143.84	  1452100	 0.11864	 -0.016685 
08036501	 36501	  39	  -40	  -156.47	  1450900	 0.11864	 -0.018144 
08036511	 36511	  39	  -40	  -165.45	  1463400	 0.11946	 -0.019066 
08036521	 36521	  39	  -40	  -172.85	  1459700	 0.11946	 -0.019899 
08036531	 36531	  39	  -40	  -180.87	  1457900	 0.11946	 -0.020812 
08036541	 36541	  39	  -40	  -197.13	  1456700	 0.11946	 -0.022675 
08036551	 36551	  39	  -40	  -208.73	  1455800	 0.11863	 -0.024237 
08036561	 36561	  39	  -40	  -221.45	  1450200	 0.11863	 -0.025676 
08036571	 36571	  39	  -40	  -234.09	  1449000	 0.11863	 -0.027132 
08036581	 36581	  39	  -40	  -248.5	  1447800	 0.11863	 -0.028793 
08036591	 36591	  39	  -40	  -258.7	  1454300	 0.11896	 -0.029911 
08036601	 36601	  39	  -40	  -273.71	  1450600	 0.11896	 -0.031615 
08036611	 36611	  39	  -40	  -285.14	  1448800	 0.11896	 -0.032919 
08036621	 36621	  39	  -40	  -303.03	  1447600	 0.11896	 -0.034973 
08036831	 36831	  34	  -39	  -303.82	  1518900	 0.11886	 -0.035624 
08036841	 36841	  29	  -34	  -295.16	  1514300	 0.11886	 -0.034568 
08036851	 36851	  27	  -32	  -291.65	  1510400	 0.11886	 -0.034122 
08036861	 36861	  26	  -31	  -289.39	  1516400	 0.11944	 -0.033682 
08036871	 36871	  24	  -29	  -283.08	  1580600	 0.11944	 -0.033483 
08036881	 36881	  21	  -26	  -275.83	  1511900	 0.11944	 -0.032066 
08036891	 36891	  19	  -24	  -269.76	  1509300	 0.11944	 -0.031339 
08036901	 36901	  17	  -22	  -255.14	  1506700	 0.11944	 -0.029621 
08036911	 36911	  14	  -19	  -249.57	  1505400	 0.11944	 -0.028965 
08036921	 36921	  34	  -39	  -157.61	  1528200	 0.11886	 -0.018525 
08036931	 36931	  29	  -34	  -160.02	  1516300	 0.11886	 -0.01875 
08036941	 36941	  27	  -32	  -162.65	  1512400	 0.11886	 -0.019039 
08036951	 36951	  26	  -31	  -160.35	  1521700	 0.11944	 -0.018688 
