File name	 Run No	  Starting AoA (deg)	  Arc (deg)	  Linear Pitch-Rate (deg/s)	  Reynolds No.	 Mach No.	 Reduced Pitch-Rate 
02020031	 20031	  1	  39	  2.91	  1435000	 0.11591	 0.00034526 
02020041	 20041	  1	  39	  4.39	  1428600	 0.11539	 0.00052319 
02020051	 20051	  1	  39	  5.97	  1435500	 0.11595	 0.00070807 
02020061	 20061	  1	  39	  7.41	  1443500	 0.1166	 0.00087399 
02020071	 20071	  1	  39	  14.87	  1456600	 0.11765	 0.0017381 
02020081	 20081	  1	  39	  30.01	  1440400	 0.11634	 0.0035474 
02020091	 20091	  1	  39	  44.99	  1456000	 0.11761	 0.0052609 
02020101	 20101	  1	  39	  60.01	  1440000	 0.11631	 0.0070952 
02020111	 20111	  1	  39	  75.29	  1456000	 0.1176	 0.0088044 
02020121	 20121	  1	  39	  89.95	  1439500	 0.11627	 0.010639 
02020131	 20131	  1	  39	  102.53	  1458000	 0.11777	 0.011973 
02020141	 20141	  1	  39	  115.12	  1444200	 0.11665	 0.013572 
02020151	 20151	  1	  39	  129.59	  1464200	 0.11827	 0.015069 
02020161	 20161	  1	  39	  146.43	  1444700	 0.1167	 0.017256 
02020171	 20171	  1	  39	  159.64	  1461100	 0.11802	 0.018603 
02020181	 20181	  1	  39	  173.63	  1440700	 0.11637	 0.02052 
02020191	 20191	  1	  39	  189.52	  1458900	 0.11784	 0.022118 
02020201	 20201	  1	  39	  199.78	  1461000	 0.11801	 0.023281 
02020221	 20221	  1	  39	  229.07	  1451200	 0.11722	 0.026875 
02020231	 20231	  1	  39	  242.61	  1411500	 0.11944	 0.027935 
02020241	 20241	  1	  39	  258.52	  1414600	 0.1197	 0.029702 
02020251	 20251	  1	  39	  263.63	  1408100	 0.11915	 0.030428 
02020261	 20261	  1	  39	  276.83	  1407000	 0.11906	 0.031976 
02020271	 20271	  1	  39	  286.6	  1411200	 0.11941	 0.033007 
02020281	 20281	  1	  39	  298.51	  1418600	 0.12004	 0.034197 
02020291	 20291	  1	  39	  315.94	  1395300	 0.11807	 0.036799 
02020301	 20301	  1	  39	  324.9	  1410900	 0.11939	 0.037425 
02020311	 20311	  1	  39	  337.21	  1398400	 0.11833	 0.039191 
