File name	 Run No	  Mean AoA (deg)	  Tip Speed Ratio	  Oscillation Freq. (Hz)	  Reynolds No.	 Mach No.	 Reduced Frequency 
05071781	 71781	  0	  6	  0.975	  1525900	 0.11969	 0.040844 
05071791	 71791	  0	  4	  0.975	  1519300	 0.11969	 0.040775 
05071801	 71801	  0	  3.5	  0.975	  1516600	 0.11969	 0.040747 
05071811	 71811	  0	  3.25	  0.975	  1514000	 0.11969	 0.04072 
05071821	 71821	  0	  6	  1.218	  1487000	 0.11745	 0.051856 
05071831	 71831	  0	  4	  1.218	  1482500	 0.11745	 0.051795 
05071841	 71841	  0	  3.5	  1.218	  1480600	 0.11745	 0.051769 
05071851	 71851	  0	  3.25	  1.218	  1479300	 0.11745	 0.051751 
05071861	 71861	  0	  6	  1.462	  1481100	 0.11744	 0.062157 
05071871	 71871	  0	  4	  1.462	  1477200	 0.11744	 0.062095 
05071881	 71881	  0	  3.5	  1.462	  1475300	 0.11744	 0.062064 
05071891	 71891	  0	  3.25	  1.462	  1473500	 0.11744	 0.062033 
