File name	 Run No	  Starting AoA (deg)	  Arc (deg)	  Linear Pitch-Rate (deg/s)	  Reynolds No.	 Mach No.	 Reduced Pitch-Rate 
11020082	 20082	  -1	  40	  356.95	  1502800	 0.11987	 0.041488 
11020092	 20092	  -1	  40	  327.98	  1495000	 0.11987	 0.038044 
11020102	 20102	  -1	  40	  339.76	  1491700	 0.11987	 0.039377 
11020112	 20112	  -1	  40	  301.08	  1490500	 0.11987	 0.034882 
11020122	 20122	  -1	  40	  311.22	  1487900	 0.11987	 0.036033 
11020132	 20132	  -1	  40	  276.05	  1484100	 0.11987	 0.031929 
11020142	 20142	  -1	  40	  278.45	  1465100	 0.11773	 0.032858 
11020152	 20152	  -1	  40	  244.31	  1459500	 0.11773	 0.028786 
11020162	 20162	  -1	  40	  241.39	  1457000	 0.11773	 0.028422 
11020172	 20172	  -1	  40	  212.07	  1453200	 0.11773	 0.024945 
11020182	 20182	  -1	  40	  210.54	  1486300	 0.11933	 0.02452 
11020192	 20192	  -1	  40	  189.24	  1481200	 0.11933	 0.022009 
11020202	 20202	  -1	  41	  183.9	  1478600	 0.11933	 0.021374 
11020212	 20212	  -1	  40	  159.61	  1476700	 0.11933	 0.018542 
11020232	 20232	  -1	  41	  153.77	  1464400	 0.11818	 0.018046 
11020242	 20242	  -1	  40	  132.81	  1461900	 0.11818	 0.015575 
11020252	 20252	  -1	  40	  124.18	  1457500	 0.11818	 0.014546 
11020262	 20262	  -1	  40	  99.015	  1455600	 0.11818	 0.011593 
11020272	 20272	  -1	  40	  94.496	  1485900	 0.11906	 0.011027 
11020282	 20282	  -1	  40	  77.816	  1478900	 0.11906	 0.0090636 
11020292	 20292	  -1	  40	  58.21	  1476400	 0.11906	 0.0067755 
11020302	 20302	  -1	  40	  45.333	  1473800	 0.11906	 0.0052731 
11020312	 20312	  -1	  40	  27.994	  1471600	 0.11857	 0.0032728 
11020322	 20322	  -1	  40	  14.678	  1465300	 0.11857	 0.0017132 
11020332	 20332	  -1	  40	  6.9339	  1462800	 0.11857	 0.00080876 
11020342	 20342	  0	  40	  5.8937	  1458500	 0.11857	 0.00068663 
