File name	 Run No	  Nominal AoA (deg)	  Average AoA (deg)	  Reynolds No.	  Mach No. 
12040841	 40841	  0	  -0.02	  1061700	  0.17118 
12040851	 40851	  1	  1.19	  1055400	  0.17118 
12040861	 40861	  2	  1.92	  1047400	  0.17118 
12040871	 40871	  3	  3.05	  1044400	  0.17118 
12040881	 40881	  4	  3.9	  1042200	  0.17118 
12040891	 40891	  5	  5.07	  1040900	  0.17118 
12040901	 40901	  6	  6.09	  1039600	  0.17118 
12040911	 40911	  7	  6.96	  1038300	  0.17118 
12040921	 40921	  8	  7.96	  1036100	  0.17118 
12040931	 40931	  9	  8.96	  1034800	  0.17118 
12040941	 40941	  10	  9.95	  1033100	  0.17118 
12040951	 40951	  11	  10.97	  1032300	  0.17118 
12040971	 40971	  13	  12.88	  1029700	  0.17118 
12040981	 40981	  14	  14.08	  1039500	  0.17088 
12040991	 40991	  15	  14.78	  1032600	  0.17088 
12041001	 41001	  16	  15.96	  1030500	  0.17088 
12041011	 41011	  17	  16.87	  1037000	  0.17089 
12041021	 41021	  18	  17.83	  1032700	  0.17089 
12041031	 41031	  19	  18.88	  1030500	  0.17089 
12041041	 41041	  20	  19.86	  1029200	  0.17089 
12041051	 41051	  21	  20.85	  1028000	  0.17089 
12041061	 41061	  22	  21.93	  1025900	  0.17089 
12041071	 41071	  23	  22.73	  1024600	  0.17089 
12041081	 41081	  24	  23.71	  1022500	  0.17089 
12041091	 41091	  25	  24.69	  1021600	  0.17089 
12041101	 41101	  26	  25.62	  1020400	  0.17089 
12041121	 41121	  27	  26.64	  1059600	  0.16934 
12041131	 41131	  28	  27.67	  1055100	  0.16934 
12041141	 41141	  29	  28.74	  1051500	  0.16934 
12041151	 41151	  30	  29.72	  1049800	  0.16934 
12041161	 41161	  31	  30.64	  1047100	  0.16934 
12041171	 41171	  32	  31.68	  1045800	  0.16934 
12041181	 41181	  33	  32.54	  1044000	  0.16934 
12041191	 41191	  34	  33.68	  1041800	  0.16934 
