File name	 Run No	  Mean Incidence (deg)	  Amplitude (deg)	  Oscillation Freq. (Hz)	  Reynolds No.	 Mach No.	 Reduced Frequency 
11013021	 13021	  16	  8	  0.233	  1436100	 0.11639	 0.0099819 
11013031	 13031	  17	  8	  0.233	  1434300	 0.11639	 0.0099769 
11013041	 13041	  20	  8	  0.233	  1432400	 0.11639	 0.0099719 
11013051	 13051	  3	  8	  0.582	  1423800	 0.1153	 0.02519 
11013061	 13061	  4	  8	  0.582	  1421400	 0.1153	 0.025173 
11013071	 13071	  5	  8	  0.582	  1419000	 0.1153	 0.025157 
11013081	 13081	  6	  8	  0.582	  1418300	 0.1153	 0.025152 
11013091	 13091	  7	  8	  0.582	  1417100	 0.1153	 0.025144 
11013101	 13101	  8	  8	  0.582	  1416500	 0.1153	 0.02514 
11013111	 13111	  9	  8	  0.582	  1415900	 0.1153	 0.025136 
11013121	 13121	  11	  8	  0.582	  1414700	 0.1153	 0.025127 
11013131	 13131	  12	  8	  0.582	  1428600	 0.11609	 0.024986 
11013141	 13141	  13	  8	  0.582	  1426200	 0.11609	 0.02497 
11013151	 13151	  14	  8	  0.582	  1424300	 0.11609	 0.024957 
11013161	 13161	  15	  8	  0.582	  1422500	 0.11609	 0.024945 
11013171	 13171	  16	  8	  0.582	  1421900	 0.11609	 0.024941 
11013181	 13181	  17	  8	  0.582	  1421300	 0.11609	 0.024937 
11013191	 13191	  20	  8	  0.582	  1420100	 0.11609	 0.024928 
11013211	 13211	  3	  8	  1.165	  1450200	 0.11774	 0.049494 
11013221	 13221	  4	  8	  1.165	  1445200	 0.11774	 0.049427 
11013231	 13231	  5	  8	  1.165	  1442700	 0.11774	 0.049394 
11013241	 13241	  6	  8	  1.165	  1442100	 0.11774	 0.049386 
11013251	 13251	  7	  8	  1.165	  1440800	 0.11774	 0.049369 
11013261	 13261	  8	  8	  1.165	  1440200	 0.11774	 0.049361 
11013271	 13271	  9	  8	  1.165	  1439000	 0.11774	 0.049344 
11013281	 13281	  11	  8	  1.165	  1438400	 0.11774	 0.049336 
11013291	 13291	  12	  8	  1.165	  1405600	 0.11487	 0.050605 
11013301	 13301	  13	  8	  1.165	  1402600	 0.11487	 0.050563 
11013311	 13311	  14	  8	  1.165	  1401400	 0.11487	 0.050546 
11013321	 13321	  15	  8	  1.165	  1400200	 0.11487	 0.050529 
11013331	 13331	  16	  8	  1.165	  1399000	 0.11487	 0.050512 
11013341	 13341	  17	  8	  1.165	  1397800	 0.11487	 0.050495 
11013351	 13351	  20	  8	  1.165	  1397200	 0.11487	 0.050487 
11013371	 13371	  3	  8	  1.747	  1456500	 0.11789	 0.074176 
11013381	 13381	  4	  8	  1.747	  1453900	 0.11789	 0.074126 
11013391	 13391	  5	  8	  1.747	  1452100	 0.11789	 0.074088 
11013401	 13401	  6	  8	  1.747	  1450800	 0.11789	 0.074063 
11013411	 13411	  7	  8	  1.747	  1449600	 0.11789	 0.074038 
11013421	 13421	  8	  8	  1.747	  1448900	 0.11789	 0.074026 
11013431	 13431	  9	  8	  1.747	  1447700	 0.11789	 0.074001 
11013441	 13441	  11	  8	  1.747	  1446400	 0.11789	 0.073976 
11013451	 13451	  12	  8	  1.747	  1407200	 0.11455	 0.076173 
11013461	 13461	  13	  8	  1.747	  1404800	 0.11455	 0.076122 
11013471	 13471	  15	  8	  1.747	  1401800	 0.11455	 0.076059 
11013491	 13491	  16	  8	  1.747	  1400600	 0.11455	 0.076033 
11013501	 13501	  17	  8	  1.747	  1399400	 0.11455	 0.076008 
11013511	 13511	  20	  8	  1.747	  1398800	 0.11455	 0.075995 
11013521	 13521	  3	  8	  2.33	  1420100	 0.11559	 0.10068 
11013531	 13531	  4	  8	  2.33	  1417000	 0.11559	 0.10059 
11013541	 13541	  5	  8	  2.33	  1415800	 0.11559	 0.10056 
11013551	 13551	  6	  8	  2.33	  1414600	 0.11559	 0.10053 
11013561	 13561	  7	  8	  2.33	  1414000	 0.11559	 0.10051 
11013571	 13571	  8	  8	  2.33	  1412800	 0.11559	 0.10047 
11013581	 13581	  9	  8	  2.33	  1412200	 0.11559	 0.10046 
11013591	 13591	  11	  8	  2.33	  1410900	 0.11559	 0.10042 
11013601	 13601	  12	  8	  2.33	  1415100	 0.11584	 0.10025 
11013611	 13611	  13	  8	  2.33	  1413300	 0.11584	 0.1002 
11013621	 13621	  14	  8	  2.33	  1412100	 0.11584	 0.10016 
11013631	 13631	  15	  8	  2.33	  1411500	 0.11584	 0.10015 
11013641	 13641	  16	  8	  2.33	  1410300	 0.11584	 0.10011 
11013651	 13651	  17	  8	  2.33	  1409700	 0.11584	 0.1001 
11013661	 13661	  20	  8	  2.33	  1408500	 0.11584	 0.10006 
11013671	 13671	  3	  8	  2.33	  1406100	 0.1149	 0.10113 
11013681	 13681	  4	  8	  2.912	  1403100	 0.1149	 0.12628 
11013691	 13691	  5	  8	  2.912	  1402500	 0.1149	 0.12626 
11013701	 13701	  6	  8	  2.912	  1401300	 0.1149	 0.12622 
