File name	 Run No	  Nominal AoA (deg)	  Average AoA (deg)	  Reynolds No.	  Mach No. 
09040171	 40171	  0	  -0.21	  1473700	  0.11976 
09040181	 40181	  1	  0.85	  1468000	  0.11976 
09040191	 40191	  2	  1.72	  1467400	  0.11976 
09040201	 40201	  3	  2.71	  1466800	  0.11976 
09040211	 40211	  4	  3.83	  1466800	  0.11976 
09040221	 40221	  5	  4.9	  1466100	  0.11976 
09040231	 40231	  6	  5.87	  1465500	  0.11976 
09040241	 40241	  7	  6.99	  1464900	  0.11976 
09040251	 40251	  8	  8.45	  1464900	  0.11976 
09040261	 40261	  9	  8.96	  1464300	  0.11976 
09040271	 40271	  10	  10.33	  1463700	  0.11976 
09040281	 40281	  11	  11.4	  1463000	  0.11976 
09040291	 40291	  12	  12.33	  1463000	  0.11976 
09040301	 40301	  13	  13.5	  1462400	  0.11976 
09040311	 40311	  14	  14.94	  1464500	  0.11962 
09040321	 40321	  15	  15.6	  1462000	  0.11962 
09040331	 40331	  16	  16.91	  1461400	  0.11962 
09040341	 40341	  17	  17.74	  1460800	  0.11962 
09040351	 40351	  18	  18.63	  1460800	  0.11962 
09040361	 40361	  19	  19.99	  1459500	  0.11962 
09040371	 40371	  20	  21.08	  1459500	  0.11962 
09040381	 40381	  21	  22.19	  1458900	  0.11962 
09040391	 40391	  22	  23.14	  1458300	  0.11962 
09040401	 40401	  23	  24.14	  1457700	  0.11962 
09040411	 40411	  24	  25.03	  1457700	  0.11962 
09040421	 40421	  25	  26.13	  1457700	  0.11962 
09040431	 40431	  26	  27.38	  1457000	  0.11962 
09040441	 40441	  27	  28.3	  1457700	  0.11962 
09040451	 40451	  28	  28.97	  1466300	  0.11987 
09040461	 40461	  29	  30.3	  1461900	  0.11987 
09040471	 40471	  30	  31.15	  1461300	  0.11987 
09040481	 40481	  31	  32.4	  1460700	  0.11987 
09040491	 40491	  32	  33.1	  1460700	  0.11987 
09040501	 40501	  33	  34.03	  1460100	  0.11987 
09040511	 40511	  34	  34.93	  1459500	  0.11987 
09040521	 40521	  35	  36.16	  1458800	  0.11987 
09040531	 40531	  0	  -0.13	  1460300	  0.11943 
09040541	 40541	  1	  0.52	  1456000	  0.11943 
09040551	 40551	  2	  1.38	  1456000	  0.11943 
09040561	 40561	  3	  2.5	  1455300	  0.11943 
09040571	 40571	  4	  3.46	  1454700	  0.11943 
09040581	 40581	  5	  4.6	  1454700	  0.11943 
09040591	 40591	  6	  5.58	  1454100	  0.11943 
09040601	 40601	  7	  6.76	  1454100	  0.11943 
09040611	 40611	  8	  7.78	  1453500	  0.11943 
09040621	 40621	  9	  9.33	  1453500	  0.11943 
09040631	 40631	  10	  10.3	  1452900	  0.11943 
09040641	 40641	  11	  11.4	  1452300	  0.11943 
09040651	 40651	  12	  12.44	  1452300	  0.11943 
09040661	 40661	  13	  13.43	  1451700	  0.11943 
09040671	 40671	  14	  14.64	  1459000	  0.11973 
09040681	 40681	  15	  15.55	  1456500	  0.11973 
09040691	 40691	  16	  16.71	  1456500	  0.11973 
09040701	 40701	  17	  17.76	  1455300	  0.11973 
09040711	 40711	  18	  18.81	  1455300	  0.11973 
09040721	 40721	  19	  19.99	  1454700	  0.11973 
09040731	 40731	  20	  21.2	  1454700	  0.11973 
09040741	 40741	  21	  22.37	  1454000	  0.11973 
09040751	 40751	  22	  23.37	  1453400	  0.11973 
09040761	 40761	  23	  24.16	  1453400	  0.11973 
09040771	 40771	  24	  25.23	  1452800	  0.11973 
09040781	 40781	  25	  26.23	  1452800	  0.11973 
09040791	 40791	  26	  27.51	  1452800	  0.11973 
09040801	 40801	  27	  28.4	  1452800	  0.11973 
09040811	 40811	  28	  28.99	  1461700	  0.12 
09040821	 40821	  29	  30.03	  1458000	  0.12 
09040831	 40831	  30	  31.14	  1456700	  0.12 
09040841	 40841	  31	  32.23	  1456700	  0.12 
09040851	 40851	  32	  33.14	  1456100	  0.12 
09040861	 40861	  33	  34.24	  1455500	  0.12 
09040871	 40871	  34	  35.02	  1455500	  0.12 
09040881	 40881	  35	  36.07	  1455500	  0.12 
