File name	 Run No	  Start AoA (deg)	  Arc (deg)	  Reynolds No.	  Mach No. 
09000011	 11	  0	  25	  837390	  0.063851 
09000012	 12	  0	  24	  805020	  0.061655 
09000021	 21	  0	  -24	  839860	  0.06421 
09000022	 22	  0	  -24	  807090	  0.062009 
09000031	 31	  0	  25	  1144400	  0.087725 
09000032	 32	  0	  24	  1092800	  0.085855 
09000041	 41	  0	  -24	  1140900	  0.087806 
09000042	 42	  0	  -24	  1088600	  0.085717 
09000051	 51	  0	  24	  1546700	  0.11946 
09000052	 52	  0	  25	  1516600	  0.11957 
09000061	 61	  0	  -24	  1529800	  0.11909 
09000062	 62	  0	  -24	  1504900	  0.1197 
09000071	 71	  0	  24	  2036900	  0.15967 
09000081	 81	  0	  -24	  2006300	  0.15981 
09000091	 91	  180	  25	  790550	  0.061509 
09400101	 101	  182	  -26	  788150	  0.061458 
09400111	 111	  178	  27	  1122900	  0.087713 
09400121	 121	  185	  -30	  1124400	  0.08826 
09400131	 131	  175	  30	  1517900	  0.11941 
09400141	 141	  185	  -30	  1504900	  0.11964 
09400151	 151	  174	  31	  1922600	  0.15551 
