File name	 Run No	  Mean Incidence (deg)	  Amplitude (deg)	  Oscillation Freq. (Hz)	  Reynolds No.	 Mach No.	 Reduced Frequency 
08051011	 51011	  0	  5.4	  0.657	  806310	 0.06549	 0.050124 
08051031	 51031	  0	  10	  0.657	  805960	 0.06549	 0.050116 
08051051	 51051	  0	  12.2	  0.657	  806310	 0.06549	 0.050124 
08051071	 51071	  0	  13.8	  0.657	  805890	 0.065428	 0.05018 
08051091	 51091	  0	  17.4	  0.657	  805890	 0.065428	 0.05018 
08051111	 51111	  0	  5.4	  0.896	  1094200	 0.088721	 0.050493 
08051131	 51131	  0	  10	  0.896	  1092800	 0.088721	 0.050467 
08051151	 51151	  0	  12.2	  0.896	  1091900	 0.088721	 0.05045 
08051171	 51171	  0	  13.8	  0.896	  1093100	 0.088822	 0.050393 
08051191	 51191	  0	  17.4	  0.896	  1092200	 0.088822	 0.050376 
08051211	 51211	  0	  5.4	  0.996	  1463100	 0.12006	 0.041282 
08051231	 51231	  0	  10	  0.996	  1459300	 0.12006	 0.041241 
08051251	 51251	  0	  12.2	  0.996	  1456200	 0.12006	 0.041207 
08051271	 51271	  0	  13.8	  0.996	  1466300	 0.121	 0.040876 
08051291	 51291	  0	  17.4	  0.996	  1463800	 0.121	 0.040848 
08051311	 51311	  0	  5.4	  1.245	  1446400	 0.11991	 0.051462 
08051331	 51331	  0	  10	  1.245	  1443400	 0.11991	 0.051419 
08051351	 51351	  0	  12.2	  1.245	  1440900	 0.11991	 0.051385 
08051371	 51371	  0	  13.8	  1.245	  1440600	 0.11973	 0.051488 
08051391	 51391	  0	  17.4	  1.245	  1438200	 0.11973	 0.051454 
08051411	 51411	  0	  5.4	  1.494	  1441500	 0.11981	 0.061745 
08051431	 51431	  0	  10	  1.494	  1439100	 0.11981	 0.061705 
08051451	 51451	  0	  12.2	  1.494	  1436700	 0.11981	 0.061664 
08051471	 51471	  0	  13.8	  1.494	  1442800	 0.12027	 0.061438 
08051491	 51491	  0	  17.4	  1.494	  1441000	 0.12027	 0.061408 
08051511	 51511	  0	  5.4	  1.662	  1927100	 0.16026	 0.051396 
08051531	 51531	  0	  10	  1.662	  1918100	 0.16026	 0.051302 
08051551	 51551	  0	  12.2	  1.662	  1910900	 0.16026	 0.051227 
08051571	 51571	  0	  13.8	  1.662	  1906400	 0.15995	 0.051317 
08051591	 51591	  0	  17.4	  1.662	  1899200	 0.15995	 0.051242 
08059011	 59011	  0	  22.6	  0.657	  806110	 0.065389	 0.050226 
08059031	 59031	  0	  32.8	  0.657	  806110	 0.065389	 0.050226 
08059051	 59051	  0	  22.6	  0.896	  1092300	 0.088798	 0.050398 
08059071	 59071	  0	  32.8	  0.896	  1091400	 0.088798	 0.050381 
08059091	 59091	  0	  22.6	  0.996	  1453800	 0.12027	 0.041081 
08059111	 59111	  0	  32.8	  0.996	  1450700	 0.12027	 0.041047 
08059131	 59131	  0	  22.6	  1.245	  1438200	 0.11953	 0.051576 
08059151	 59151	  0	  32.8	  1.245	  1435100	 0.11953	 0.051533 
08059171	 59171	  0	  22.6	  1.494	  1443900	 0.12047	 0.061318 
08059191	 59191	  0	  32.8	  1.494	  1441500	 0.12047	 0.061278 
08059211	 59211	  0	  22.6	  1.662	  1895200	 0.15954	 0.05138 
08059231	 59231	  0	  32.8	  1.662	  1888100	 0.15954	 0.051305 
08059311	 59311	  0	  5.4	  1.875	  1466800	 0.12074	 0.077265 
08059331	 59331	  0	  10	  1.875	  1464300	 0.12074	 0.077214 
08059351	 59351	  0	  12.2	  1.875	  1463000	 0.12074	 0.077188 
08059371	 59371	  0	  13.8	  1.875	  1457800	 0.12021	 0.077554 
08059391	 59391	  0	  17.4	  1.875	  1456000	 0.12021	 0.077516 
08059411	 59411	  0	  22.6	  1.875	  1454100	 0.12021	 0.077477 
08059431	 59431	  0	  32.8	  1.875	  1452900	 0.12021	 0.077451 
08059451	 59451	  0	  5.4	  0.488	  1481200	 0.12082	 0.020146 
08059471	 59471	  0	  10	  0.488	  1476100	 0.12082	 0.020119 
08059491	 59491	  0	  12.2	  0.488	  1472300	 0.12082	 0.020099 
08059511	 59511	  0	  13.8	  0.488	  1468000	 0.12021	 0.020218 
08059531	 59531	  0	  17.4	  0.488	  1459300	 0.12021	 0.020171 
08059551	 59551	  0	  22.6	  0.488	  1459000	 0.12024	 0.020163 
08059571	 59571	  0	  32.8	  0.488	  1455300	 0.12024	 0.020143 
