File name	 Run No	  Starting AoA (deg)	  Arc (deg)	  Linear Pitch-Rate (deg/s)	  Reynolds No.	 Mach No.	 Reduced Pitch-Rate 
01020341	 20341	  1	  29	  0.58811	  1443500	 0.11758	 6.9015e-05 
01020351	 20351	  1	  38	  7.6738	  1456700	 0.11866	 0.00089233 
01020362	 20362	  2	  38	  15.041	  1413500	 0.11797	 0.0017519 
01020372	 20372	  2	  38	  30.649	  1418300	 0.11862	 0.0035475 
01020382	 20382	  2	  38	  44.982	  1434500	 0.11997	 0.0051477 
01020392	 20392	  2	  38	  59.77	  1417600	 0.11831	 0.0069421 
01020402	 20402	  2	  37	  76.633	  1436900	 0.11686	 0.0090635 
01020412	 20412	  2	  37	  87.714	  1431700	 0.11693	 0.01035 
01020422	 20422	  2	  37	  103.5	  1436200	 0.1173	 0.012175 
01020432	 20432	  2	  37	  119.36	  1433500	 0.11757	 0.013985 
01020442	 20442	  2	  37	  132.87	  1436000	 0.11778	 0.01554 
01020452	 20452	  2	  37	  148.67	  1423000	 0.11672	 0.017546 
01020462	 20462	  2	  37	  162.99	  1432300	 0.11748	 0.019112 
01020472	 20472	  2	  37	  176.58	  1433900	 0.11786	 0.020621 
01020482	 20482	  2	  38	  189.55	  1434500	 0.11791	 0.022127 
01020492	 20492	  2	  38	  202.35	  1425000	 0.11737	 0.023709 
01020902	 20902	  2	  38	  222.6	  1454200	 0.11822	 0.026066 
01020912	 20912	  2	  38	  228.13	  1463700	 0.11899	 0.026541 
01020922	 20922	  2	  38	  247.34	  1467100	 0.11953	 0.028624 
01020931	 20931	  1	  38	  261.22	  1446100	 0.11745	 0.030689 
01020942	 20942	  2	  38	  270.78	  1451400	 0.1185	 0.031583 
01020952	 20952	  2	  38	  274.61	  1444300	 0.11792	 0.032186 
01020962	 20962	  2	  38	  284.68	  1449000	 0.11856	 0.033159 
01020972	 20972	  2	  38	  295.67	  1449500	 0.11885	 0.034327 
01020982	 20982	  2	  38	  303.99	  1439100	 0.11799	 0.035548 
01020992	 20992	  2	  38	  319.46	  1437900	 0.11789	 0.037388 
01021001	 21001	  1	  38	  333.7	  1438100	 0.11779	 0.038961 
01024011	 24011	  2	  39	  161.76	  1453400	 0.11818	 0.018917 
01024021	 24021	  6	  34	  156.47	  1349700	 0.10975	 0.019704 
01024031	 24031	  10	  31	  141.54	  1252700	 0.1023	 0.019091 
01024041	 24041	  12	  29	  131.47	  1156100	 0.094405	 0.019215 
01024051	 24051	  14	  27	  120.17	  1056000	 0.086237	 0.019227 
01024061	 24061	  15	  26	  109.04	  976170	 0.079715	 0.018874 
01024071	 24071	  16	  25	  102.89	  865990	 0.070718	 0.020075 
01024081	 24081	  16	  25	  86.02	  768650	 0.062769	 0.018909 
01024091	 24091	  16	  25	  77.395	  674670	 0.055095	 0.019383 
01024101	 24101	  17	  24	  68.907	  570450	 0.046584	 0.02041 
01024111	 24111	  19	  23	  56.262	  479020	 0.039118	 0.019845 
