S809   Clean
          
Run 119
Uncorrected data: vel=98.9 ft/s  Re=0.99 mill  AOA=-0.03  Cl=0.090  Cdp=0.00100  Cm=-0.0343
Corrected data:   vel=99.7 ft/s  Re=1.00 mill  AOA=0.0  Cl=0.080  Cdp=0.00100  Cm=-0.0333
DRAG COEFFICIENT BY MOMENTUM  =       0.0089
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, 0.976, 0.000, 0.976
0.004, 0.591, 0.004, 0.574
0.009, 0.398, 0.009, 0.440
0.014, 0.222, 0.015, 0.312
0.019, 0.094, 0.023, 0.217
0.025, 0.015, 0.030, 0.158
0.032, -0.078, 0.037, 0.102
0.039, -0.127, 0.056, -0.024
0.045, -0.181, 0.088, -0.141
0.065, -0.275, 0.128, -0.312
0.101, -0.415, 0.171, -0.442
0.144, -0.484, 0.214, -0.576
0.189, -0.567, 0.255, -0.676
0.234, -0.623, 0.294, -0.812
0.278, -0.676, 0.332, -0.874
0.319, -0.676, 0.367, -0.917
0.356, -0.703, 0.398, -0.888
0.389, -0.735, 0.425, -0.841
0.420, -0.755, 0.450, -0.771
0.452, -0.740, 0.474, -0.760
0.488, -0.688, 0.502, -0.720
0.529, -0.633, 0.535, -0.351
0.575, -0.367, 0.574, -0.251
0.630, -0.251, 0.620, -0.137
0.687, -0.185, 0.672, -0.016
0.740, -0.116, 0.728, 0.075
0.797, -0.045, 0.792, 0.153
0.855, -0.012, 0.852, 0.224
0.910, 0.056, 0.907, 0.241
0.967, 0.143, 0.965, 0.238
1.002, 0.203, 1.002, 0.203
         
Wake data, 120 data points
Wake pos (in), Wake Q
7.0610, 0.08500
7.1330, 0.08500
7.2010, 0.08500
7.2740, 0.08500
7.3480, 0.08500
7.4250, 0.08500
7.5030, 0.08600
7.5780, 0.08600
7.6500, 0.08600
7.7320, 0.08600
7.7600, 0.08700
7.8810, 0.08700
7.9660, 0.08700
8.0340, 0.08700
8.1060, 0.08700
8.1860, 0.08700
8.2570, 0.08800
8.3310, 0.08700
8.4030, 0.08700
8.4760, 0.08700
8.5540, 0.08700
8.6310, 0.08700
8.6960, 0.08700
8.7740, 0.08700
8.8500, 0.08700
8.9270, 0.08700
9.0070, 0.08700
9.0840, 0.08700
9.2020, 0.08700
9.2220, 0.08700
9.2910, 0.08700
9.3670, 0.08800
9.4440, 0.08800
9.5180, 0.08800
9.5920, 0.08800
9.6550, 0.08800
9.7400, 0.08800
9.8200, 0.08800
9.8970, 0.08700
9.9750, 0.08700
10.0380, 0.08800
10.1180, 0.08800
10.1890, 0.08800
10.2630, 0.08800
10.3380, 0.08800
10.4190, 0.08700
10.4940, 0.08700
10.5710, 0.08700
10.6390, 0.08700
10.7250, 0.08700
10.7970, 0.08800
10.8750, 0.08800
10.9470, 0.08800
11.0250, 0.08800
11.0960, 0.08800
11.1730, 0.08800
11.2390, 0.08800
11.3290, 0.08800
11.4060, 0.08800
11.4780, 0.08800
11.5550, 0.08800
11.6260, 0.08700
11.7000, 0.08700
11.7750, 0.08700
11.8490, 0.08700
11.9230, 0.08700
12.0000, 0.08700
12.0770, 0.08600
12.1510, 0.08600
12.2270, 0.08500
12.3040, 0.08500
12.3810, 0.08300
12.4470, 0.08100
12.5270, 0.08000
12.5960, 0.07900
12.6750, 0.07700
12.7520, 0.07600
12.8350, 0.07500
12.9120, 0.07400
12.9920, 0.07400
13.0610, 0.07400
13.1380, 0.07500
13.2140, 0.07700
13.2910, 0.07700
13.3660, 0.07900
13.4450, 0.08200
13.5170, 0.08300
13.5930, 0.08400
13.6710, 0.08600
13.7500, 0.08700
13.8270, 0.08700
13.8990, 0.08800
13.9750, 0.08800
14.0480, 0.08800
14.1240, 0.08800
14.2040, 0.08800
14.2800, 0.08700
14.3500, 0.08700
14.4240, 0.08700
14.5030, 0.08700
14.5770, 0.08700
14.6520, 0.08700
14.7200, 0.08700
14.7760, 0.08700
14.8630, 0.08700
14.9370, 0.08700
15.0170, 0.08700
15.0950, 0.08700
15.1720, 0.08700
15.2400, 0.08700
15.3170, 0.08700
15.3900, 0.08700
15.4650, 0.08700
15.5390, 0.08700
15.6110, 0.08700
15.6830, 0.08700
15.7600, 0.08700
15.8410, 0.08800
15.9180, 0.08700
15.9980, 0.08800
---------
         
Run 120
Uncorrected data: vel=99.0 ft/s  Re=1.00 mill  AOA=-2.06  Cl=-0.160  Cdp=0.00090  Cm=-0.0303
Corrected data:   vel=99.8 ft/s  Re=1.00 mill  AOA=-2.1  Cl=-0.160  Cdp=0.00090  Cm=-0.0308
DRAG COEFFICIENT BY MOMENTUM  =       0.0090
                
Surface Pressure Data, 31 upper surface points, 31 lower surface points
upper x/c, upper Cp, lower x/c, lower Cp 
0.000, 0.843, 0.000, 0.843
0.004, 0.921, 0.004, -0.085
0.009, 0.784, 0.009, -0.153
0.014, 0.635, 0.015, -0.193
0.019, 0.506, 0.023, -0.229
0.025, 0.408, 0.030, -0.259
0.032, 0.307, 0.037, -0.283
0.039, 0.231, 0.056, -0.341
0.045, 0.172, 0.088, -0.442
0.065, 0.044, 0.128, -0.570
0.101, -0.134, 0.171, -0.691
0.144, -0.251, 0.214, -0.813
0.189, -0.351, 0.255, -0.895
0.234, -0.429, 0.294, -1.006
0.278, -0.490, 0.332, -1.060
0.319, -0.522, 0.367, -1.084
0.356, -0.553, 0.398, -1.038
0.389, -0.589, 0.425, -0.970
0.420, -0.632, 0.450, -0.932
0.452, -0.629, 0.474, -0.900
0.488, -0.576, 0.502, -0.774
0.529, -0.510, 0.535, -0.414
0.575, -0.393, 0.574, -0.323
0.630, -0.179, 0.620, -0.200
0.687, -0.133, 0.672, -0.054
0.740, -0.084, 0.728, 0.044
0.797, -0.022, 0.792, 0.132
0.855, 0.008, 0.852, 0.212
0.910, 0.058, 0.907, 0.224
0.967, 0.138, 0.965, 0.228
1.002, 0.208, 1.002, 0.208
         
Wake data, 120 data points
Wake pos (in), Wake Q
7.8770, 0.08900
7.9510, 0.08900
8.0260, 0.08900
8.0980, 0.08900
8.1720, 0.08900
8.2520, 0.08900
8.3250, 0.08900
8.4000, 0.08900
8.4710, 0.08900
8.5490, 0.08900
8.6200, 0.08900
8.6930, 0.08900
8.7680, 0.08900
8.8470, 0.08900
8.9220, 0.08900
8.9960, 0.08900
9.0730, 0.08900
9.1500, 0.08900
9.2160, 0.08900
9.2840, 0.08900
9.3610, 0.08900
9.4360, 0.08900
9.5100, 0.08900
9.5870, 0.08900
9.6330, 0.08900
9.7240, 0.08900
9.8150, 0.08800
9.8840, 0.08800
9.9630, 0.08900
10.0330, 0.08800
10.1040, 0.08800
10.1830, 0.08800
10.2440, 0.08800
10.3270, 0.08800
10.4000, 0.08800
10.4740, 0.08800
10.5540, 0.08800
10.6330, 0.08800
10.7060, 0.08800
10.7930, 0.08800
10.8640, 0.08800
10.9440, 0.08800
11.0070, 0.08800
11.0850, 0.08800
11.1610, 0.08800
11.2390, 0.08800
11.3150, 0.08800
11.3920, 0.08800
11.4620, 0.08800
11.5410, 0.08800
11.6090, 0.08800
11.6870, 0.08800
11.7640, 0.08800
