11481	3	6	83	24	762.4	1	20	6	1.565	127	4064	10	0	0	0	0	198.77	443.86	9.9337e+005	0.078989	0.099076	27.294	0	0	1	0	0	0	1	0	0
445.42	-0.040382	-0.27286	-0.50975	-0.66884	-1.1046	-1.3478	-1.5715	-1.7661	-1.7493	-1.7925	-1.6047	-1.6154	-1.5702	-1.7235	-2.0549	-2.6304	-4.5169	-5.6031	-6.8	-8.4453	-7.7147	-5.1313	0.26267	0.64509	0.99802	0.89452	0.74522	0.55683	0.32776	0.059767	20.67
444.18	-0.055104	-0.29578	-0.54157	-0.84175	-1.3503	-1.5731	-1.7828	-1.8152	-1.7484	-1.825	-1.5703	-1.5721	-1.5179	-1.5895	-1.8193	-2.2346	-3.9279	-5.0059	-6.1849	-7.7796	-7.0318	-4.8114	0.34189	0.68362	1.0177	0.90976	0.76116	0.58387	0.34692	0.074295	20.94
444.18	0.0052687	-0.42089	-0.85184	-1.0895	-1.5597	-1.7374	-1.8712	-1.8319	-1.7749	-1.7463	-1.5153	-1.518	-1.4676	-1.4919	-1.6385	-1.8807	-3.7473	-4.6002	-5.5456	-7.0862	-6.3153	-4.5138	0.4161	0.70495	1.0256	0.92027	0.76667	0.58603	0.35881	0.099415	21.32
444.93	-0.090003	-0.57735	-1.0746	-1.2267	-1.6403	-1.7226	-1.8024	-1.7072	-1.6982	-1.7188	-1.5418	-1.4531	-1.3175	-1.6163	-2.0426	-2.5903	-3.4364	-3.5446	-3.7225	-5.1207	-4.3532	-3.5784	0.58671	0.78661	1.0482	0.93629	0.77376	0.58928	0.35901	0.083134	21.57
444.38	-0.28569	-0.72831	-1.1879	-1.3211	-1.6275	-1.6852	-1.7474	-1.7288	-1.6363	-1.5615	-1.3894	-1.5239	-1.6006	-2.1187	-2.1543	-2.1611	-3.0936	-2.8987	-2.7602	-3.9826	-3.3798	-3.0309	0.7111	0.82769	1.0501	0.93039	0.77652	0.58682	0.35547	0.02761	21.94
443.49	-0.32432	-0.87133	-1.4385	-1.4517	-1.7592	-1.6931	-1.6285	-1.5726	-1.4349	-1.4759	-1.2881	-1.6311	-1.9045	-2.2939	-2.302	-2.2775	-2.8851	-2.5092	-2.1819	-3.3255	-2.7123	-2.6819	0.80393	0.87143	1.061	0.92764	0.77258	0.58908	0.33562	-0.026281	22.17
444.11	-0.44176	-0.9076	-1.3975	-1.4117	-1.6688	-1.6252	-1.5135	-1.4066	-1.3592	-1.4779	-1.5595	-1.7393	-1.8532	-2.3714	-2.4137	-2.5169	-2.5162	-1.9235	-1.3666	-2.4982	-1.9419	-2.182	0.90545	0.92066	1.0688	0.93678	0.765	0.57866	0.31606	-0.083105	22.53
443.49	-0.69296	-1.056	-1.4528	-1.4545	-1.6206	-1.4993	-1.4299	-1.4587	-1.5135	-1.8181	-1.826	-1.9026	-1.9102	-1.9465	-1.8855	-1.8578	-2.073	-1.5953	-1.147	-2.3002	-1.6803	-2.009	0.96884	0.95015	1.0708	0.9299	0.7652	0.55398	0.28953	-0.1821	22.75
442.87	-0.7018	-1.0465	-1.4242	-1.3259	-1.6344	-1.6803	-1.6432	-1.6237	-1.7582	-2.0207	-1.8132	-1.6902	-1.5113	-1.6766	-1.7416	-1.7215	-2.0547	-1.5589	-1.0929	-2.218	-1.6639	-1.9565	1.0017	0.95487	1.058	0.91487	0.74492	0.53234	0.24943	-0.282	23.08
443	-0.84804	-1.0551	-1.3003	-1.2925	-1.5439	-1.701	-1.9027	-2.0667	-1.8889	-1.8102	-1.3786	-1.3881	-1.3479	-1.5082	-1.5788	-1.6166	-2.0402	-1.5627	-1.1142	-2.2438	-1.7024	-1.9458	1.0045	0.95899	1.0501	0.91349	0.72071	0.51406	0.21051	-0.37738	23.3
442.59	-1.0358	-1.1649	-1.3403	-1.2639	-1.6039	-1.6931	-1.7828	-1.8859	-1.9066	-1.8427	-1.3324	-1.2543	-1.1342	-1.3733	-1.5466	-1.607	-2.018	-1.5264	-1.0648	-2.1721	-1.6639	-1.8971	1.021	0.94523	1.0413	0.88037	0.71579	0.48357	0.17887	-0.44491	23.64
442.87	-0.99948	-1.1233	-1.2899	-1.2563	-1.5449	-1.5603	-1.6914	-1.6728	-1.6884	-1.7119	-1.293	-1.2593	-1.1836	-1.2862	-1.364	-1.3571	-1.7303	-1.3857	-1.0668	-2.2323	-1.5851	-1.832	1.0451	0.96174	1.0285	0.86691	0.68655	0.45447	0.14221	-0.47581	23.87
442.66	-0.92194	-1.0446	-1.2079	-1.1381	-1.3739	-1.4068	-1.5095	-1.7494	-1.5567	-1.6106	-1.237	-1.1373	-1.0002	-1.2603	-1.3659	-1.2141	-1.5632	-1.1311	-0.72081	-1.8354	-1.2552	-1.5821	1.0904	0.98376	1.0216	0.8556	0.66559	0.42694	0.10496	-0.50131	24.2
442.04	-0.95644	-1.0863	-1.2594	-1.1715	-1.3228	-1.4117	-1.5056	-1.5785	-1.426	-1.3294	-0.99607	-1.0044	-0.97744	-1.2316	-1.452	-1.3333	-1.7525	-1.2393	-0.74973	-1.8306	-1.3514	-1.586	1.1039	0.97727	1.0039	0.84509	0.63684	0.41042	0.075625	-0.53684	24.4
442.18	-1.0221	-1.1441	-1.3118	-1.1829	-1.3061	-1.2652	-1.3366	-1.3585	-1.3081	-1.2507	-0.93069	-1.0113	-1.0544	-1.2422	-1.2362	-1.1082	-1.5642	-1.0613	-0.57884	-1.7044	-1.1638	-1.5053	1.129	0.98474	1.001	0.81796	0.62641	0.38367	0.058102	-0.56617	24.7
441.21	-0.91123	-1.0172	-1.1632	-1.1333	-1.253	-1.2406	-1.2727	-1.2858	-1.2137	-1.2311	-0.98919	-1.0192	-1.0135	-1.1503	-1.221	-1.1969	-1.5468	-1.1225	-0.71936	-1.845	-1.2821	-1.5364	1.1368	0.98474	0.99704	0.81737	0.62218	0.37699	0.063802	-0.55111	24.85
441.97	-0.82072	-0.95562	-1.127	-0.94355	-1.1371	-1.2543	-1.2491	-1.2985	-1.1931	-1.1809	-0.94052	-1.0576	-1.1332	-1.1484	-1.2097	-1.2189	-1.5304	-1.0594	-0.60901	-1.7101	-1.1965	-1.4848	1.1416	0.98671	0.99311	0.82308	0.62395	0.37738	0.062111	-0.51833	25.11
442.25	-0.75064	-0.90608	-1.0955	-1.0656	-1.1852	-1.2268	-1.2393	-1.2298	-1.2059	-1.1731	-0.9594	-1.1009	-1.1988	-1.2938	-1.3346	-1.3018	-1.5903	-1.0804	-0.5918	-1.6852	-1.2167	-1.4848	1.131	0.99064	0.99704	0.81197	0.61332	0.38672	0.066839	-0.47532	25.26
441.97	-0.622	-0.82568	-1.0584	-0.97128	-1.143	-1.2238	-1.2894	-1.2543	-1.1548	-1.1534	-1.119	-1.1668	-1.1731	-1.3311	-1.3782	-1.3619	-1.6714	-1.178	-0.70611	-1.8086	-1.3023	-1.548	1.1281	0.98867	0.99802	0.82769	0.63507	0.38485	0.086789	-0.41124	25.48
