10711	16	1	95	25	743.35	1	5	10	4.48	1024	37888	10	0	0	0	0	4587.5	960.98	1.4371e+006	0.11771	0.19001	40.74	0	0	1	0	0	0	15	0	0	0	0	0	0	0
960.94	0.14612	0.1929	-0.0056192	-0.18444	-0.28289	-0.3021	-0.30888	-0.29363	-0.27321	-0.25594	-0.24181	-0.23331	-0.22001	0.0093111	0.49771	0.98038	1.1972	1.2013	1.1187	-3.307	-1.0054	-0.81525	-0.56804	-0.48727	-0.41071	-0.3725	-0.34793	-0.3109	-0.28322	-0.22142	-0.15513	-0.04987	0.030629	0.12974	0.098704	-2.6221
961.24	0.14608	0.19285	-0.0072228	-0.18358	-0.28359	-0.30519	-0.31116	-0.29512	-0.27662	-0.25847	-0.24528	-0.2376	-0.22344	0.0034915	0.49289	0.97836	1.2003	1.1939	1.1254	-3.2793	-0.99496	-0.80976	-0.56219	-0.48313	-0.4071	-0.36977	-0.34519	-0.30949	-0.28136	-0.2218	-0.15377	-0.048979	0.030182	0.13058	0.10043	-2.5733
961.09	0.14721	0.18959	-0.0080256	-0.18361	-0.28364	-0.30843	-0.31439	-0.29832	-0.27929	-0.26112	-0.25066	-0.242	-0.23046	-0.0023271	0.48479	0.97323	1.2005	1.1976	1.1256	-3.2555	-0.98506	-0.80463	-0.55791	-0.47881	-0.4041	-0.36678	-0.34349	-0.30733	-0.27963	-0.22138	-0.15292	-0.048551	0.030624	0.13061	0.10045	-2.5391
960.79	0.14725	0.18746	-0.0088306	-0.18527	-0.28689	-0.31171	-0.31766	-0.30236	-0.28288	-0.26642	-0.25429	-0.24558	-0.23286	-0.0081489	0.47791	0.97003	1.2009	1.2015	1.1294	-3.2287	-0.97534	-0.79923	-0.55458	-0.47629	-0.40073	-0.36515	-0.34054	-0.30655	-0.27749	-0.21966	-0.15208	-0.048569	0.030634	0.12976	0.099159	-2.5098
961.09	0.14389	0.18301	-0.0088292	-0.18521	-0.28839	-0.3148	-0.31915	-0.30384	-0.28454	-0.26808	-0.25688	-0.24987	-0.2386	-0.011637	0.47192	0.96621	1.197	1.2046	1.1291	-3.1998	-0.96454	-0.79374	-0.55004	-0.47219	-0.39799	-0.36285	-0.3378	-0.3047	-0.27608	-0.21915	-0.1516	-0.048551	0.031937	0.12928	0.09825	-2.4756
960.94	0.14391	0.18194	-0.0096328	-0.18604	-0.29002	-0.31645	-0.32159	-0.30705	-0.28897	-0.27073	-0.26048	-0.25428	-0.24447	-0.016294	0.46499	0.95937	1.1937	1.1907	1.1292	-3.1736	-0.9542	-0.78906	-0.54621	-0.46918	-0.39412	-0.36073	-0.33654	-0.30342	-0.27479	-0.21784	-0.15075	-0.048124	0.033692	0.12974	0.099586	-2.4366
961.09	0.14167	0.18192	-0.0088292	-0.18521	-0.29077	-0.31799	-0.32471	-0.30937	-0.29067	-0.2733	-0.26399	-0.25686	-0.24676	-0.019783	0.46027	0.95743	1.1901	1.1906	1.1361	-3.1465	-0.94488	-0.7837	-0.54176	-0.46643	-0.39101	-0.35892	-0.33473	-0.30338	-0.27474	-0.21557	-0.14985	-0.046801	0.035873	0.13104	0.10177	-2.3731
960.94	0.14169	0.18194	-0.0072251	-0.18444	-0.29002	-0.31964	-0.32555	-0.31178	-0.29247	-0.27509	-0.26492	-0.26039	-0.24912	-0.026772	0.45797	0.95235	1.1902	1.1907	1.1363	-3.1191	-0.93543	-0.77988	-0.53834	-0.46387	-0.38889	-0.35724	-0.3326	-0.30123	-0.27301	-0.21247	-0.14724	-0.045059	0.036753	0.13327	0.10311	-2.3535
960.64	0.13842	0.1809	-0.0088319	-0.1853	-0.29011	-0.32133	-0.32804	-0.31346	-0.29344	-0.27779	-0.26856	-0.26397	-0.25502	-0.030272	0.4523	0.94736	1.1871	1.1911	1.1436	-3.0957	-0.92697	-0.77488	-0.5337	-0.4618	-0.38639	-0.35429	-0.33007	-0.29956	-0.27043	-0.20985	-0.14554	-0.045073	0.038078	0.1342	0.10138	-2.2998
